series,signal,condition,pad,#,confidence,basis
CH32V467,DVP_D10,DVP_RM=1,PB5,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D10,DVPEN=1&DVP_RM=0,PD6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D10,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PD6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D2,DVP_RM=1,PA8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D2,DVPEN=1&DVP_RM=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D2,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D3,DVP_RM=1,PB4,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D3,DVPEN=1&DVP_RM=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D3,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D5,DVP_RM=1,PB3,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D5,DVPEN=1&DVP_RM=0,PB6,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,DVP_D5,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V467,FSMC_NADV,FSMCEN=1,PB7,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V467,FSMC_NADV,FSMCEN=1&USBHS2EN=1&RB_UD_RST_SIE=0,PD2,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V467,SDIO_D0,SDIO_RM=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D0,SDIO_RM=1,PB14,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D1,SDIO_RM=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D1,SDIO_RM=1,PB15,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D6,SDIO_RM=0,PC6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D6,SDIO_RM=1,PA9,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D6,SDIOEN=1&ETHMACEN=1,PC6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D7,SDIO_RM=0,PC7,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D7,SDIO_RM=1,PA10,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V467,SDIO_D7,SDIOEN=1&ETHMACEN=1,PC7,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
