family,symbol,role,register,address,value,#,confidence,basis
CH32H417,RCC_USBHSPLL_IN_DIV,mask,RCC->PLLCFGR2,0x40021034,7936,#,reference,evt(device-header)
CH32H417,RCC_USBHSPLL_REFSEL,mask,RCC->PLLCFGR2,0x40021034,12,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_USBHS_PLLON,value,RCC->CTLR,0x40021000,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_USBHS_PLLRDY,poll,RCC->CTLR,0x40021000,2097152,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_USBSSPLL_REFSEL,mask,RCC->PLLCFGR2,0x40021034,112,#,reference,evt(device-header)
CH32L103,EXTEN_PLL_HSI_PRE,value,EXTEN->EXTEN_CTR,0x40023800,16,#,reference,evt(device-header+system_ch32*.c)
CH32L103,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,3,#,reference,evt(device-header+system_ch32*.c)
CH32L103,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32L103,FLASH_ACTLR_LATENCY_2,value,FLASH->ACTLR,0x40022000,2,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,49152,#,reference,evt(device-header)
CH32L103,RCC_ADC_DUTY_CHG,mask,RCC->CFGR0,0x40021004,1879048192,#,reference,evt(device-header)
CH32L103,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32L103,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header)
CH32L103,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_HSITRIM,mask,RCC->CTLR,0x40021000,248,#,reference,evt(device-header)
CH32L103,RCC_PLLMULL,mask,RCC->CFGR0,0x40021004,3932160,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL12,value,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL6,value,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL7,value,RCC->CFGR0,0x40021004,1310720,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL9,value,RCC->CFGR0,0x40021004,1835008,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLSRC,mask,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
