family,peripheral,bus,register,offset,address,bit,mask,macro,#,confidence,basis
CH32V307,DAC,APB1,APB1PCENR,0x1c,0x4002101c,29,0x20000000,RCC_APB1Periph_DAC,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,AFIO,APB2,APB2PCENR,0x18,0x40021018,0,0x1,RCC_APB2Periph_AFIO,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,GPIOA,APB2,APB2PCENR,0x18,0x40021018,2,0x4,RCC_APB2Periph_GPIOA,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,GPIOB,APB2,APB2PCENR,0x18,0x40021018,3,0x8,RCC_APB2Periph_GPIOB,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,GPIOC,APB2,APB2PCENR,0x18,0x40021018,4,0x10,RCC_APB2Periph_GPIOC,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,GPIOD,APB2,APB2PCENR,0x18,0x40021018,5,0x20,RCC_APB2Periph_GPIOD,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,GPIOE,APB2,APB2PCENR,0x18,0x40021018,6,0x40,RCC_APB2Periph_GPIOE,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,ADC1,APB2,APB2PCENR,0x18,0x40021018,9,0x200,RCC_APB2Periph_ADC1,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,ADC2,APB2,APB2PCENR,0x18,0x40021018,10,0x400,RCC_APB2Periph_ADC2,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
CH32V307,TIM1,APB2,APB2PCENR,0x18,0x40021018,11,0x800,RCC_APB2Periph_TIM1,#,confirmed,evt(ch32v30x_rcc.h+ch32v30x.h)+rm(CH32FV2x_V3xRM.PDF)
