series,selector,value,signal,pad,#,confidence,basis
CH32H417,afio-sdmmc-remap,1,SDMMC_D5,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_D6,PC6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_D7,PC7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_SDCK,PD11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_SLVCK,PD11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_STR,PD10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,1,SDMMC_STS,PD12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_CMD,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D0,PD0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D1,PD1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D2,PD2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D3,PD3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D4,PD4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D5,PD5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D6,PD6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_D7,PD7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_SDCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_SLVCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_STR,PC11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,2,SDMMC_STS,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_CMD,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D0,PD0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D1,PD1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D2,PD2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D3,PD3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D4,PD4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D5,PD5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D6,PD6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_D7,PD7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_SDCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_SLVCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_STR,PC11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,3,SDMMC_STS,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,0,UHSIF_CLK,PF11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-clk-remap,1,UHSIF_CLK,PC0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,2,UHSIF_CLK,PF14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,3,UHSIF_CLK,PD9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT0,PF12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT1,PF13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT10,PE15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT11,PB10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT12,PB11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT13,PB12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT14,PB13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT15,PB14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT16,PD10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT17,PD11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT18,PD12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT19,PD13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT2,PE7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT20,PD14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT21,PD15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT22,PF0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT23,PF1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT24,PF2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT25,PC6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT26,PC7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT27,PC8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT28,PC9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT29,PA13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT3,PE8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT30,PA14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT31,PA15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT32,PC10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT33,PC11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT34,PC12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT35,PD0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT36,PD1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT37,PD2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT38,PD3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT39,PD4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT4,PE9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT40,PD5,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT41,PD6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT42,PD7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT43,PF3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT44,PF4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT45,PF5,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT46,PE0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT47,PE1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT5,PE10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT6,PE11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT7,PE12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT8,PE13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT9,PE14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT3,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT4,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT5,PC3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT6,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,1,UHSIF_PORT7,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT0,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT1,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT2,PC3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT3,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT32,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT33,PC11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT34,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT35,PD0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
