series,selector,value,signal,pad,#,confidence,basis
CH32M030,afio-tim1-remap,0,TIM1_CH2N,PB10,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim1-remap,0,TIM1_CH3,PB13,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim1-remap,0,TIM1_CH3N,PB12,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim1-remap,0,TIM1_CH4,PC0,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim1-remap,0,TIM1_ETR,PC1,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim1-remap,1,TIM1_BKIN,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH1,PB9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH1N,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH2,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH2N,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH3,PB13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH3N,PB12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_CH4,PB15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,1,TIM1_ETR,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_BKIN,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH1,PB9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH1N,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH2,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH2N,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH3,PB15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH3N,PB14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_CH4,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,2,TIM1_ETR,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_BKIN,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH1,PC3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH1N,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH2,PC4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH2N,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH3,PA0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH3N,PC0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_CH4,PC5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,3,TIM1_ETR,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_BKIN,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH1,PB9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH1,PC3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH1N,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH1N,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH2,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH2,PC4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH2N,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH2N,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH3,PA0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH3,PB13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH3N,PB12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH3N,PC0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_CH4,PA1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim1-remap,4,TIM1_ETR,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,0,TIM2_CH1N,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,0,TIM2_CH1_ETR,PA5,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,0,TIM2_CH2,PA6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,0,TIM2_CH2N,PA4,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,0,TIM2_CH3,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,0,TIM2_CH4,PA4,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim2-remap,1,TIM2_CH1N,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,1,TIM2_CH1_ETR,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,1,TIM2_CH2,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,1,TIM2_CH2N,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,1,TIM2_CH3,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,1,TIM2_CH4,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH1N,PB12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH1_ETR,PB13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH2,PB15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH2,PC5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH2N,PB14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH3,PB12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,2,TIM2_CH4,PB14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH1N,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH1_ETR,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH2,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH2N,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH3,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim2-remap,3,TIM2_CH4,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,0,TIM3_CH1N,PB2,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim3-remap,0,TIM3_CH1_ETR,PC0,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim3-remap,0,TIM3_CH2,PC1,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim3-remap,0,TIM3_CH2N,PB3,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-tim3-remap,1,TIM3_CH1N,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,1,TIM3_CH1_ETR,PC0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,1,TIM3_CH2,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,1,TIM3_CH2N,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,2,TIM3_CH1N,PB4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,2,TIM3_CH1_ETR,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,2,TIM3_CH2,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,2,TIM3_CH2N,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,3,TIM3_CH1N,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,3,TIM3_CH1_ETR,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,3,TIM3_CH2,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,3,TIM3_CH2N,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,4,TIM3_CH1N,PB12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,4,TIM3_CH1_ETR,PB13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,4,TIM3_CH2,PB15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-tim3-remap,4,TIM3_CH2N,PB14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,0,UART_CTS,PA14,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-uart1-remap,0,UART_RTS,PA15,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-uart1-remap,0,UART_RX,PC0,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-uart1-remap,0,UART_TX,PC1,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,afio-uart1-remap,1,UART_CTS,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,1,UART_RTS,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,1,UART_RX,PC2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,1,UART_TX,PC1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,2,UART_CTS,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,2,UART_RTS,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,2,UART_RX,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,2,UART_TX,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,3,UART_CTS,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,3,UART_RTS,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,3,UART_RX,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,3,UART_TX,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,4,UART_CTS,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,4,UART_RTS,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,4,UART_RX,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,4,UART_TX,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,5,UART_CTS,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,5,UART_RTS,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,5,UART_RX,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,afio-uart1-remap,5,UART_TX,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M030,extend-isink1-adj,0,ISINK1,PA6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M030,extend-isink2-adj,0,ISINK2,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-can-rm,0,CAN1_RX,PA11,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-can-rm,0,CAN1_TX,PA12,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-can-rm,2,CAN1_RX,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-i2c1-rm,0,I2C1_SCL,PB6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-i2c1-rm,0,I2C1_SDA,PB7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-i2c1-rm,0,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-i2c1-rm,2,I2C1_SCL,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-i2c1-rm,2,I2C1_SDA,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-i2c1-rm,2,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-i2c1-rm,3,I2C1_SDA,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-i2c1-rm,3,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-lptim-rm,1,LPTIM_CH1,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-lptim-rm,1,LPTIM_CH2,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-lptim-rm,1,LPTIM_ETR,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,0,SPI1_MISO,PA6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-spi1-rm,0,SPI1_MOSI,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-spi1-rm,0,SPI1_NSS,PA4,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-spi1-rm,0,SPI1_SCK,PA5,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-spi1-rm,1,SPI1_MOSI,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,1,SPI1_SCK,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,2,SPI1_MISO,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,2,SPI1_MOSI,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,2,SPI1_NSS,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,2,SPI1_SCK,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,3,SPI1_MISO,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,3,SPI1_MOSI,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-spi1-rm,3,SPI1_SCK,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,0,TIM1_CH4,PA11,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim1-rm,0,TIM1_ETR,PA12,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim1-rm,1,TIM1_BKIN,PA6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,1,TIM1_CH1N,PA7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,1,TIM1_CH2N,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,1,TIM1_CH3N,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,1,TIM1_CH4,PA11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,1,TIM1_ETR,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_BKIN,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH1,PA1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH1N,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH2,PA7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH2N,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH3,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_CH4,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,2,TIM1_ETR,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_BKIN,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH1,PA1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH1N,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH2,PA7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH2N,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH3,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_CH4,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,3,TIM1_ETR,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_BKIN,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_CH1,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_CH1N,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_CH2,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_CH2N,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_CH4,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,4,TIM1_ETR,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_BKIN,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH1,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH1N,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH2,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH2N,PA1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH3,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH3N,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_CH4,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim1-rm,5,TIM1_ETR,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,0,TIM2_CH1_ETR,PA0-WKUP,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim2-rm,0,TIM2_CH2,PA1,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim2-rm,0,TIM2_CH3,PA2,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim2-rm,0,TIM2_CH4,PA3,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim2-rm,1,TIM2_CH2,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,1,TIM2_CH3,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,1,TIM2_CH4,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,2,TIM2_CH1_ETR,PA0-WKUP,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,2,TIM2_CH2,PA1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,2,TIM2_CH3,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,2,TIM2_CH4,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,3,TIM2_CH2,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,3,TIM2_CH3,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,3,TIM2_CH4,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,4,TIM2_CH1_ETR,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,4,TIM2_CH2,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,4,TIM2_CH4,PA6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,5,TIM2_CH1_ETR,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,5,TIM2_CH2,PA2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,5,TIM2_CH4,PA6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,7,TIM2_CH1_ETR,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,7,TIM2_CH2,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,7,TIM2_CH3,PA5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim2-rm,7,TIM2_CH4,PA4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim3-rm,0,TIM3_CH1,PA6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim3-rm,0,TIM3_CH2,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim3-rm,0,TIM3_CH3,PB0,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim3-rm,0,TIM3_CH4,PB1,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim3-rm,1,TIM3_CH2,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim3-rm,1,TIM3_CH3,PB0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim3-rm,1,TIM3_CH4,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim4-rm,0,TIM4_CH1,PB6,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim4-rm,0,TIM4_CH2,PB7,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim4-rm,0,TIM4_CH3,PB8,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-tim4-rm,1,TIM4_CH1,PB10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim4-rm,1,TIM4_CH2,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-tim4-rm,1,TIM4_CH3,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-usart1-rm,0,USART1_CTS,PA11,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-usart1-rm,0,USART1_RTS,PA12,#,reference,candidates(datasheet-pin-table-default:en)
CH32M103,afio-usart1-rm,1,USART1_CTS,PA11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-usart1-rm,1,USART1_RTS,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-usart1-rm,1,USART1_RX,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-usart1-rm,1,USART1_TX,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32M103,afio-usart1-rm,2,USART1_CK,PA3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
