series,symbol,parameter,condition,min,max,unit,#,confidence,basis,datasheet
CH32V203,I_INJ(PIN),Injected current on other pins,,,+/-5,mA,#,confirmed,CH32V203DS0.PDF:zh(p.33)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,I_IO,Output current on any I/O and control pin,,,-25,mA,#,confirmed,CH32V203DS0.PDF:zh(p.33)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,I_VDD,Total current into V_DD/V_DDA/V_I/O power lines (source),,,150,mA,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,I_Vss,Total current out of V_SS ground lines (sink),,,150,mA,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,T_A,Ambient temperature during operation,Chips whose model number ends in 6,-40,85,℃,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.38),CH32V203DS0.PDF
CH32V203,T_A,Ambient temperature during operation,Chips whose model number ends in 7,-40,105,℃,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.38),CH32V203DS0.PDF
CH32V203,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.38),CH32V203DS0.PDF
CH32V203,V_DD-V_SS,External main supply voltage (includingV and V ) DDA DD,,-0.3,4.0,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.38),CH32V203DS0.PDF
CH32V203,V_ESD(HBM),ESD Electrostatic discharge voltage,,4K,,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,V_ESD(HBM),"USB pins (PA11, PA12)",,3K,,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,V_IN,Input voltage on other pins,,VSS-0.3,VDD+0.3,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,V_IN,Input voltage on the FT (5V tolerance) pin,,VSS-0.3,5.5,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203,V_IO-V_SS,I/O domain supply voltage,,-0.3,4.0,V,#,confirmed,CH32V203DS0.PDF:zh(p.32)+CH32V203DS0.PDF:en(p.39),CH32V203DS0.PDF
CH32V203;CH32V205,I_INJ(PIN),Injected current on HSE's OSC_IN pin and LSE's OSC_IN pin,,,±5,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_INJ(PIN),Injected current on NRST pin,,,±5,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_INJ(PIN),Injected current on other pins,,,±5,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_IO,Output current on any I/O and control pin,,,-25,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_VDD,Total current into V_DD/V_DDA/V_I/O power lines (source),,,250,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,I_Vss,Total current out of V_SS ground lines (sink),,,250,mA,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.46),CH32V205DS0.PDF
CH32V203;CH32V205,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.45),CH32V205DS0.PDF
CH32V203;CH32V205,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.45),CH32V205DS0.PDF
CH32V203;CH32V205,V_DD-V_SS,"External main supply voltage (including V , V V DDA DD, BAT V , V ) REF+ IO",,-0.3,4.0,V,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.45),CH32V205DS0.PDF
CH32V203;CH32V205,V_IN,Input voltage on other pins,,VSS-0.3,VDD+0.3,V,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.45),CH32V205DS0.PDF
CH32V203;CH32V205,V_IN,Input voltage on the FT (5V tolerance) pin,,VSS-0.3,5.5,V,#,confirmed,CH32V205DS0.PDF:zh(p.39)+CH32V205DS0.PDF:en(p.45),CH32V205DS0.PDF
CH32V208,I_INJ(PIN),Injected current on HSE's OSC_IN pin and LSE's OSC_IN pin,,,+/-5,mA,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_INJ(PIN),Injected current on NRST pin,,,+/-5,mA,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_INJ(PIN),Injected current on other pins,,,+/-5,mA,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_IO,Output current on any I/O and control pin,,,-25,mA,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_VDD,Total current into V_DD/V_DDA/V_IO power lines (source),,,150,mA,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,I_Vss,Total current out of V_SS ground lines (sink),,,150,mA,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V208,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V208,V_DD-V_SS,External main supply voltage (includingV and V ) DDA DD,,-0.3,4.0,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V208,V_ESD(HBM),"Electrostatic discharge voltage (human body model, non-contact)",,4K,,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,V_ESD(HBM),"USB pins (PA11, PA12)",,3K,,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,V_IN,Input voltage on other pins,,VSS-0.3,VDD+0.3,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V208,V_IN,Input voltage on the FT (5V tolerance) pin,,VSS-0.3,5.5,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V208,V_IO-V_SS,I/O domain supply voltage,,-0.3,4.0,V,#,confirmed,CH32V208DS0.PDF:zh(p.22)+CH32V208DS0.PDF:en(p.26),CH32V208DS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_INJ(PIN),Injected current on HSE's OSC_IN pin and LSE's OSC_IN pin,,,+/-5,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_INJ(PIN),Injected current on NRST pin,,,+/-5,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_INJ(PIN),Injected current on other pins,,,+/-5,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_IO,Source current on any I/O and control pin,,,-25,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_VDD,Total current into V_DD/V_DDA/V_IO power lines (source),,,150,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,I_Vss,Total current out of V_SS ground lines (sink),,,150,mA,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,T_A,Ambient temperature during operation,Chips whose model number ends in 6,-40,85,℃,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.58),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,T_A,Ambient temperature during operation,Chips whose model number ends in 7,-40,105,℃,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.58),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.58),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_DD-V_SS,External main supply voltage (includingV and V ) DDA DD,,-0.3,4.0,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.58),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_DDK,Voltage at decoupling end of internal power supply LDO,CH32V317,-0.2,1.5,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_DD_ETH-V_SS,Internal 10/100M Ethernet PHY supply voltage,CH32V317,-0.3,4.0,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_ESD(HBM),"Electrostatic discharge voltage (HBM, non-contact)",,4K,,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_ESD(HBM),"USB pins (PA11, PA12)",,3K,,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_IN,10/100M Ethernet PHY differential pin,CH32V317,VSS-0.3,VDD_ETH+0.3,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_IN,Input voltage on PHY pin of USB and 10M Ethernet,,VSS-0.3,VDD+0.3,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_IN,Input voltage on other pins,,VSS-0.3,VIO+0.3,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_IN,Input voltage on the FT (5V tolerance) pin,,VSS-0.3,5.5,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_IO-V_SS,I/O supply voltage,,-0.3,4.0,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.51)+CH32V20x_30xDS0.PDF:en(p.58),CH32V20x_30xDS0.PDF
CH32V407;CH32V467,I_IO,Output current on any I/O and control pin,,,-25,mA,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,I_VDD,Total current of all V_DD main supply pins,,,250,mA,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,I_VSS,Total current of all V_SS common ground pins,,,250,mA,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.51),CH32V407DS0.PDF
CH32V407;CH32V467,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_DD,External main supply voltage (including V_DD and V_DDA),,-0.3,4.0,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_DDK,Power decoupling end of core circuit,,-0.2,1.5,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_IN,Input voltage on FT (tolerant 5V) pin.,,-0.3,5.5,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_IN,Input voltage on USB 2.0 and Ethernet PHY pins,,-0.3,VDD+0.3,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_IN,Input voltage on other pins (supplied by V_DD),,-0.3,VDD+0.3,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32V407;CH32V467,V_REF+,Positive reference voltage of ADC and DAC modules,,-0.3,VDDA+0.3,V,#,confirmed,CH32V407DS0.PDF:zh(p.44)+CH32V407DS0.PDF:en(p.50),CH32V407DS0.PDF
CH32X033;CH32X035,I_GND,Total combined current on all GND common ground pins,,,200,mA,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,I_IO,Sink current on any I/O pins,,,40,mA,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,I_IO,Source current on any I/O pins,,,30,mA,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,I_VDD,Total combined current of all VDD main supply pins,,,150,mA,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,V_DD,Voltage on external mains supply pin VDD,,-0.3,6.0,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,V_ESD(HBM),ESD electrostatic discharge voltage (HBM) on common I/O pins,,4K,,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X033;CH32X035,V_IN,Voltage on I/O pins,,-0.3,VDD+0.3,V,#,confirmed,CH32X035DS0.PDF:zh(p.23)+CH32X035DS0.PDF:en(p.25),CH32X035DS0.PDF
CH32X305;CH32X315,I_IO,Sink current on any I/O and control pin,,,25,mA,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,I_IO,Source current on any I/O and control pin,,,-25,mA,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,I_VDD,Total current of all V_DD main supply pins,,,250,mA,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,I_VSS,Total current of all V_SS common ground pins,,,250,mA,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.33),CH32X315DS0.PDF
CH32X305;CH32X315,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.33),CH32X315DS0.PDF
CH32X305;CH32X315,V_DD,External main supply voltage,,-0.3,4.0,V,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.33),CH32X315DS0.PDF
CH32X305;CH32X315,V_DDA,Analog part supply voltage,,-0.3,4.0,V,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_DDK,"Core operating voltage, USB3.0 module operating voltage",,-0.2,1.4,V,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_IN,Input voltage on FT (5V tolerant) pin,,-0.3,5.5,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_IN,Input voltage on USB2.0 pin,,-0.3,VDD+0.3,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_IN,Input voltage on USB3.0 pin,CH32X315,-0.3,VDDK+0.3,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_IN,Input voltage on other I/O pins (V_DD supply),,-0.3,VDD+0.3,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_REF+,Positive reference voltage for ADC module,,-0.3,VDDA+0.3,V,#,confirmed,CH32X315DS0.PDF:zh(p.29)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
CH32X305;CH32X315,V_REF-,Negative reference voltage for ADC module,,-0.3,1.3,V,#,confirmed,CH32X315DS0.PDF:zh(p.30)+CH32X315DS0.PDF:en(p.34),CH32X315DS0.PDF
