family,config,source,condition,domains,hpre,ppre1,ppre2,pll,flash_latency,flash_sck_div,outside_rcc,#,confidence,basis,evt_copies
CH32V407,SetSYSCLK_240MHz_HCLK_120MHz_HSI,HSI,,SYSCLK=240000000;HCLK=120000000,2,1,1,RCC_PLLSRC_HSI;RCC_PLLMULL12,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_350MHz_HCLK_175MHz_HSE,HSE,,SYSCLK=350000000;HCLK=175000000,2,1,1,RCC_PLLSRC_HSE;RCC_PLLMULL14,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_350MHz_HCLK_175MHz_HSI,HSI,,SYSCLK=350000000;HCLK=175000000,2,1,1,RCC_PLLSRC_HSI;RCC_PLLMULL17_5,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_400MHz_HCLK_200MHz_HSE,HSE,,SYSCLK=400000000;HCLK=200000000,2,1,1,RCC_PLLSRC_HSE;RCC_PLLMULL16,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_400MHz_HCLK_200MHz_HSI,HSI,,SYSCLK=400000000;HCLK=200000000,2,1,1,RCC_PLLSRC_HSI;RCC_PLLMULL20,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_480MHz_HCLK_240MHz_HSE,HSE,,SYSCLK=480000000;HCLK=240000000,2,1,1,,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_480MHz_HCLK_240MHz_HSI,HSI,,SYSCLK=480000000;HCLK=240000000,2,1,1,RCC_PLLSRC_HSI;RCC_PLLMULL24,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_HCLK_HSE,HSE,,,1,1,1,,,,,#,reference,evt(system_ch32*.c),143/143
CH32V407,SetSYSCLK_HCLK_HSI,HSI,,,1,1,1,,,,,#,reference,evt(system_ch32*.c),143/143
CH32X035,SetSysClockTo12_HSI,HSI,,SYSCLK=12000000,4,,,,0,,,#,reference,evt(system_ch32*.c),94/94
CH32X035,SetSysClockTo16_HSI,HSI,,SYSCLK=16000000,3,,,,1,,,#,reference,evt(system_ch32*.c),94/94
CH32X035,SetSysClockTo24_HSI,HSI,,SYSCLK=24000000,2,,,,1,,,#,reference,evt(system_ch32*.c),94/94
CH32X035,SetSysClockTo48_HSI,HSI,,SYSCLK=48000000,1,,,,2,,,#,reference,evt(system_ch32*.c),94/94
CH32X035,SetSysClockTo8_HSI,HSI,,SYSCLK=8000000,6,,,,0,,,#,reference,evt(system_ch32*.c),94/94
CH32X315,SetSYSCLK_240M_CoreCLK_240M_HCLK_120M_HSE,HSE,,SYSCLK=240000000;CoreCLK=240000000;HCLK=120000000,1,,,RCC_PLLSRC_USBHSPLL_480M,,2,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_240M_CoreCLK_240M_HCLK_120M_HSI,HSI,,SYSCLK=240000000;CoreCLK=240000000;HCLK=120000000,1,,,RCC_PLLSRC_USBHSPLL_480M,,2,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_240M_CoreCLK_240M_HCLK_240M_HSE,HSE,,SYSCLK=240000000;CoreCLK=240000000;HCLK=240000000,1,,,RCC_PLLSRC_USBHSPLL_480M,,4,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_240M_CoreCLK_240M_HCLK_240M_HSI,HSI,,SYSCLK=240000000;CoreCLK=240000000;HCLK=240000000,1,,,RCC_PLLSRC_USBHSPLL_480M,,4,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_312_5M_CoreCLK_312_5M_HCLK_312_5M_HSE,HSE,,SYSCLK=312500000;CoreCLK=312500000;HCLK=312500000,1,,,RCC_PLLSRC_USBSSPLL_625M,,8,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_312_5M_CoreCLK_312_5M_HCLK_312_5M_HSI,HSI,,SYSCLK=312500000;CoreCLK=312500000;HCLK=312500000,1,,,RCC_PLLSRC_USBSSPLL_625M,,8,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_480M_CoreCLK_480M_HCLK_240M_HSE,HSE,,SYSCLK=480000000;CoreCLK=480000000;HCLK=240000000,1,,,RCC_PLLSRC_HS,,4,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_480M_CoreCLK_480M_HCLK_240M_HSI,HSI,,SYSCLK=480000000;CoreCLK=480000000;HCLK=240000000,1,,,RCC_PLLSRC_HS,,4,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_625M_CoreCLK_625M_HCLK_312_5M_HSE,HSE,,SYSCLK=625000000;CoreCLK=625000000;HCLK=312500000,1,,,RCC_PLLSRC_HS,,8,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_625M_CoreCLK_625M_HCLK_312_5M_HSI,HSI,,SYSCLK=625000000;CoreCLK=625000000;HCLK=312500000,1,,,RCC_PLLSRC_HS,,8,,#,reference,evt(system_ch32*.c),91/91
CH32X315,SetSYSCLK_HCLK_HSE,HSE,,,1,,,,,1,,#,reference,evt(system_ch32*.c),91/91
