tag,parent,series,family,precision,features,features_zh,sections,#,confidence,basis
USART,,CH32V203,CH32V20x,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步收发器（USART）,1.4.16;2.5.15,#,confirmed,features(CH32V203DS0.PDF)+features(CH32V205DS0.PDF)
USART,,CH32V205,CH32V205,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步收发器（USART）,1.4.16,#,confirmed,features(CH32V205DS0.PDF)
USART,,CH32V208,CH32V20x,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),,2.5.15.1,#,reference,features(CH32V208DS0.PDF)
USART,,CH32V303,CH32V307,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,2.5.16,#,confirmed,features(CH32V20x_30xDS0.PDF)
USART,,CH32V305,CH32V307,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,2.5.16,#,confirmed,features(CH32V20x_30xDS0.PDF)
USART,,CH32V307,CH32V307,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,2.5.16,#,confirmed,features(CH32V20x_30xDS0.PDF)
USART,,CH32V317,CH32V307,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,2.5.16,#,confirmed,features(CH32V20x_30xDS0.PDF)
USART,,CH32V407,CH32V407,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,1.4.16,#,confirmed,features(CH32V407DS0.PDF)
USART,,CH32V467,CH32V407,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,1.4.16,#,confirmed,features(CH32V407DS0.PDF)
USART,,CH32X033,CH32X035,datasheet,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用异步收发器（USART）,1.4.14,#,confirmed,features(CH32X035DS0.PDF)
USART,,CH32X035,CH32X035,datasheet,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用异步收发器（USART）,1.4.14,#,confirmed,features(CH32X035DS0.PDF)
USART,,CH32X305,CH32X315,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,1.4.14,#,confirmed,features(CH32X315DS0.PDF)
USART,,CH32X315,CH32X315,part,Universal Synchronous/Asynchronous Receiver Transmitter (USART),通用同步/异步串口收发器（USART）,1.4.14,#,confirmed,features(CH32X315DS0.PDF)
USB,USB,CH32V103,CH32V103,datasheet,Universal Serial Bus (USB),通用串行总线（USB）,1.5.18,#,confirmed,features(CH32V103DS0.PDF)
USB-PD,USB,CH32H415,CH32H417,part,USB PD and Type-C Controller (USB PD),USB PD及Type-C 控制器（USB PD）,1.4.23,#,confirmed,features(CH32H417DS0.PDF)
USB-PD,USB,CH32H416,CH32H417,part,USB PD and Type-C Controller (USB PD),USB PD及Type-C 控制器（USB PD）,1.4.23,#,confirmed,features(CH32H417DS0.PDF)
USB-PD,USB,CH32H417,CH32H417,part,USB PD and Type-C Controller (USB PD),USB PD及Type-C 控制器（USB PD）,1.4.23,#,confirmed,features(CH32H417DS0.PDF)
USB-PD,USB,CH32L103,CH32L103,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.21,#,confirmed,features(CH32L103DS0.PDF)
USB-PD,USB,CH32M030,CH32M030,datasheet,Type-C and USB PD Controller,Type-C及USB PD控制器,1.4.16,#,confirmed,features(CH32M030DS0.PDF)
USB-PD,USB,CH32M103,CH32L103,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.21,#,confirmed,features(CH32L103DS0.PDF)
USB-PD,USB,CH32V203,CH32V20x,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.23,#,confirmed,features(CH32V205DS0.PDF)
USB-PD,USB,CH32V205,CH32V205,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.23,#,confirmed,features(CH32V205DS0.PDF)
USB-PD,USB,CH32X033,CH32X035,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.18,#,confirmed,features(CH32X035DS0.PDF)
USB-PD,USB,CH32X035,CH32X035,datasheet,USB PD and Type-C Controller (USB PD),USB PD及Type-C控制器（USB PD）,1.4.18,#,confirmed,features(CH32X035DS0.PDF)
USB-PD,USB,CH32X305,CH32X315,part,USB PD and Type-C Controller,USB PD及Type-C控制器,1.4.17,#,confirmed,features(CH32X315DS0.PDF)
USB-PD,USB,CH32X315,CH32X315,part,USB PD and Type-C Controller,USB PD及Type-C控制器,1.4.17,#,confirmed,features(CH32X315DS0.PDF)
USBD,USB,CH32V203,CH32V20x,part,Universal Serial Bus Device (USBD),通用串行总线（USBD）,2.5.19,#,confirmed,features(CH32V203DS0.PDF)
USBD,USB,CH32V208,CH32V20x,part,Universal Serial Bus device (USBD),通用串行总线（USBD）,2.5.15.5;2.5.19,#,reference,features(CH32V208DS0.PDF)
USBFS,USB,CH32H415,CH32H417,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB 2.0全速主机/设备控制器（USBFS/OTG_FS）,1.4.24,#,confirmed,features(CH32H417DS0.PDF)
USBFS,USB,CH32H416,CH32H417,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB 2.0全速主机/设备控制器（USBFS/OTG_FS）,1.4.24,#,confirmed,features(CH32H417DS0.PDF)
USBFS,USB,CH32H417,CH32H417,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB 2.0全速主机/设备控制器（USBFS/OTG_FS）,1.4.24,#,confirmed,features(CH32H417DS0.PDF)
USBFS,USB,CH32L103,CH32L103,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB2.0全速主机/设备控制器（USBFS）,1.4.20,#,confirmed,features(CH32L103DS0.PDF)
USBFS,USB,CH32M030,CH32M030,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB 2.0全速主机/设备控制器（USBFS）,1.4.17,#,confirmed,features(CH32M030DS0.PDF)
USBFS,USB,CH32M103,CH32L103,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB2.0全速主机/设备控制器（USBFS）,1.4.20,#,confirmed,features(CH32L103DS0.PDF)
USBFS,USB,CH32V203,CH32V20x,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB 2.0全速主机/设备控制器（USBFS）;通用串行总线USB2.0全速主机/设备控制器（USBFS）,1.4.21;2.5.20,#,confirmed,features(CH32V203DS0.PDF)+features(CH32V205DS0.PDF)
USBFS,USB,CH32V205,CH32V205,part,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS),通用串行总线USB 2.0全速主机/设备控制器（USBFS）,1.4.21,#,confirmed,features(CH32V205DS0.PDF)
USBFS,USB,CH32V208,CH32V20x,datasheet,Universal Serial Bus USB2.0 full-speed Host/Device controller (USBFS),通用串行总线USB2.0全速主机/设备控制器（USBFS）,2.5.15.6;2.5.20,#,reference,features(CH32V208DS0.PDF)
USBFS,USB,CH32V303,CH32V307,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB2.0全速主机/设备控制器（USBFS/OTG_FS）,2.5.21,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBFS,USB,CH32V305,CH32V307,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB2.0全速主机/设备控制器（USBFS/OTG_FS）,2.5.21,#,confirmed,features(CH32V20x_30xDS0.PDF)
USBFS,USB,CH32V307,CH32V307,datasheet,Universal Serial Bus USB2.0 Full-speed Host/Device Controller (USBFS/OTG_FS),通用串行总线USB2.0全速主机/设备控制器（USBFS/OTG_FS）,2.5.21,#,confirmed,features(CH32V20x_30xDS0.PDF)
