series,selector,controller,register,field,bits,valid_values,reset_value,#,confidence,basis
CH32V307,afio-usart7-remap,afio,PCFR2,USART7_REMAP,PCFR2:22;PCFR2:23,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V307,afio-usart8-remap,afio,PCFR2,USART8_REMAP,PCFR2:24;PCFR2:25,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-can-remap,afio,PCFR1,CAN_REMAP,PCFR1:13;PCFR1:14,0;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-can2-remap,afio,PCFR1,CAN2_REMAP,PCFR1:22,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-eth-remap,afio,PCFR1,ETH_REMAP,PCFR1:21,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-fsmc-nadv-remap,afio,PCFR2,FSMC_NADV_REMAP,PCFR2:10,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:1,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-spi3-remap,afio,PCFR1,SPI3_REMAP,PCFR1:28,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim1-remap,afio,PCFR1,TIM1_REMAP,PCFR1:6;PCFR1:7,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim10-remap,afio,PCFR2,TIM10_REMAP,PCFR2:5;PCFR2:6,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim2-remap,afio,PCFR1,TIM2_REMAP,PCFR1:8;PCFR1:9,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim3-remap,afio,PCFR1,TIM3_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim4-remap,afio,PCFR1,TIM4_REMAP,PCFR1:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim8-remap,afio,PCFR2,TIM8_REMAP,PCFR2:2,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-tim9-remap,afio,PCFR2,TIM9_REMAP,PCFR2:3;PCFR2:4,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart1-remap,afio,PCFR1|PCFR2,USART1_REMAP,PCFR1:2;PCFR2:26,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart2-remap,afio,PCFR1,USART2_REMAP,PCFR1:3,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart3-remap,afio,PCFR1,USART3_REMAP,PCFR1:4;PCFR1:5,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart4-remap,afio,PCFR2,USART4_REMAP,PCFR2:16;PCFR2:17,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart5-remap,afio,PCFR2,USART5_REMAP,PCFR2:18;PCFR2:19,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart6-remap,afio,PCFR2,USART6_REMAP,PCFR2:20;PCFR2:21,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart7-remap,afio,PCFR2,USART7_REMAP,PCFR2:22;PCFR2:23,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V317,afio-usart8-remap,afio,PCFR2,USART8_REMAP,PCFR2:24;PCFR2:25,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-can-remap,afio,PCFR1,CAN_REMAP,PCFR1:13;PCFR1:14,0;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-dvp-remap,afio,PCFR2,DVP_REMAP,PCFR2:13,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-fsmc-remap,afio,PCFR2,FSMC_REMAP,PCFR2:0,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:1,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-i3c-remap,afio,PCFR2,I3C_REMAP,PCFR2:14,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-ltdc-remap,afio,PCFR2,LTDC_REMAP,PCFR2:11,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-sdio-remap,afio,PCFR2,SDIO_REMAP,PCFR2:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-spi3-remap,afio,PCFR1,SPI3_REMAP,PCFR1:28,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-sw-cfg,afio,PCFR1,SW_CFG,PCFR1:24;PCFR1:25;PCFR1:26,0;4,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-tim1-remap,afio,PCFR1,TIM1_REMAP,PCFR1:6;PCFR1:7,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-tim2-remap,afio,PCFR1,TIM2_REMAP,PCFR1:8;PCFR1:9,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-tim3-remap,afio,PCFR1,TIM3_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-tim4-remap,afio,PCFR1,TIM4_REMAP,PCFR1:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-tim8-remap,afio,PCFR2,TIM8_REMAP,PCFR2:2,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart1-remap,afio,PCFR1|PCFR2,USART1_REMAP,PCFR1:2;PCFR2:26,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart10-remap,afio,PCFR2,USART10_REMAP,PCFR2:30;PCFR2:31,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart2-remap,afio,PCFR1,USART2_REMAP,PCFR1:3,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart3-remap,afio,PCFR1,USART3_REMAP,PCFR1:4;PCFR1:5,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart4-remap,afio,PCFR2,USART4_REMAP,PCFR2:16;PCFR2:17,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart5-remap,afio,PCFR2,USART5_REMAP,PCFR2:18;PCFR2:19,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart6-remap,afio,PCFR2,USART6_REMAP,PCFR2:20;PCFR2:21,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart7-remap,afio,PCFR2,USART7_REMAP,PCFR2:22;PCFR2:23,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart8-remap,afio,PCFR2,USART8_REMAP,PCFR2:24;PCFR2:25,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V407,afio-usart9-remap,afio,PCFR2,USART9_REMAP,PCFR2:28;PCFR2:29,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-can-remap,afio,PCFR1,CAN_REMAP,PCFR1:13;PCFR1:14,0;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-dvp-remap,afio,PCFR2,DVP_REMAP,PCFR2:13,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-fsmc-remap,afio,PCFR2,FSMC_REMAP,PCFR2:0,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:1,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-i3c-remap,afio,PCFR2,I3C_REMAP,PCFR2:14,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-ltdc-remap,afio,PCFR2,LTDC_REMAP,PCFR2:11,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-sdio-remap,afio,PCFR2,SDIO_REMAP,PCFR2:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-spi3-remap,afio,PCFR1,SPI3_REMAP,PCFR1:28,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-sw-cfg,afio,PCFR1,SW_CFG,PCFR1:24;PCFR1:25;PCFR1:26,0;4,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-tim1-remap,afio,PCFR1,TIM1_REMAP,PCFR1:6;PCFR1:7,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-tim2-remap,afio,PCFR1,TIM2_REMAP,PCFR1:8;PCFR1:9,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-tim3-remap,afio,PCFR1,TIM3_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-tim4-remap,afio,PCFR1,TIM4_REMAP,PCFR1:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-tim8-remap,afio,PCFR2,TIM8_REMAP,PCFR2:2,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart1-remap,afio,PCFR1|PCFR2,USART1_REMAP,PCFR1:2;PCFR2:26,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart10-remap,afio,PCFR2,USART10_REMAP,PCFR2:30;PCFR2:31,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart2-remap,afio,PCFR1,USART2_REMAP,PCFR1:3,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart3-remap,afio,PCFR1,USART3_REMAP,PCFR1:4;PCFR1:5,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart4-remap,afio,PCFR2,USART4_REMAP,PCFR2:16;PCFR2:17,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart5-remap,afio,PCFR2,USART5_REMAP,PCFR2:18;PCFR2:19,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart6-remap,afio,PCFR2,USART6_REMAP,PCFR2:20;PCFR2:21,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart7-remap,afio,PCFR2,USART7_REMAP,PCFR2:22;PCFR2:23,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart8-remap,afio,PCFR2,USART8_REMAP,PCFR2:24;PCFR2:25,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32V467,afio-usart9-remap,afio,PCFR2,USART9_REMAP,PCFR2:28;PCFR2:29,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:2;PCFR1:3;PCFR1:4,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-pioc-remap,afio,PCFR1,PIOC_REMAP,PCFR1:23,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0;PCFR1:1,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-tim1-remap,afio,PCFR1,TIM1_REMAP,PCFR1:15;PCFR1:16;PCFR1:17,0;1;2;3;4,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-tim2-remap,afio,PCFR1,TIM2_REMAP,PCFR1:18;PCFR1:19;PCFR1:20,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-tim3-remap,afio,PCFR1,TIM3_REMAP,PCFR1:21;PCFR1:22,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-usart1-remap,afio,PCFR1,USART1_REMAP,PCFR1:5;PCFR1:6,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-usart2-remap,afio,PCFR1,USART2_REMAP,PCFR1:7;PCFR1:8;PCFR1:9,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-usart3-remap,afio,PCFR1,USART3_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X033,afio-usart4-remap,afio,PCFR1,USART4_REMAP,PCFR1:12;PCFR1:13;PCFR1:14,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:2;PCFR1:3;PCFR1:4,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-pioc-remap,afio,PCFR1,PIOC_REMAP,PCFR1:23,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0;PCFR1:1,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-tim1-remap,afio,PCFR1,TIM1_REMAP,PCFR1:15;PCFR1:16;PCFR1:17,0;1;2;3;4,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-tim2-remap,afio,PCFR1,TIM2_REMAP,PCFR1:18;PCFR1:19;PCFR1:20,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-tim3-remap,afio,PCFR1,TIM3_REMAP,PCFR1:21;PCFR1:22,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-usart1-remap,afio,PCFR1,USART1_REMAP,PCFR1:5;PCFR1:6,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-usart2-remap,afio,PCFR1,USART2_REMAP,PCFR1:7;PCFR1:8;PCFR1:9,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-usart3-remap,afio,PCFR1,USART3_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X035,afio-usart4-remap,afio,PCFR1,USART4_REMAP,PCFR1:12;PCFR1:13;PCFR1:14,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32X315,afio-pd0-1-remap,afio,PCFR1,PD0_1_REMAP,PCFR1:15,0,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
