family,symbol,register,address,value,#,confidence,basis
CH32V307,RCC_PLLMULL12_EXTEN,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL15,RCC->CFGR0,0x40021004,3407872,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL15_EXTEN,RCC->CFGR0,0x40021004,3670016,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL18,RCC->CFGR0,0x40021004,3932160,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL18_EXTEN,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL3,RCC->CFGR0,0x40021004,262144,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL3_EXTEN,RCC->CFGR0,0x40021004,262144,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL6,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL6_EXTEN,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL7,RCC->CFGR0,0x40021004,1310720,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL7_EXTEN,RCC->CFGR0,0x40021004,1310720,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL9,RCC->CFGR0,0x40021004,1835008,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLMULL9_EXTEN,RCC->CFGR0,0x40021004,1835008,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLSRC_HSE,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLSRC_HSI_Div2,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V307,RCC_PLLXTPRE_HSE,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL12,RCC->CFGR0,0x40021004,524288,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL14,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL16,RCC->CFGR0,0x40021004,1572864,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL17_5,RCC->CFGR0,0x40021004,1966080,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL20,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLMULL24,RCC->CFGR0,0x40021004,3014656,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLSRC_HSE,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V407,RCC_PLLSRC_HSI,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32X315,RCC_PLLSRC_HS,RCC->CFGR0,0x40021004,6291456,#,reference,evt(device-header+system_ch32*.c)
CH32X315,RCC_PLLSRC_USBHSPLL_480M,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32X315,RCC_PLLSRC_USBSSPLL_625M,RCC->CFGR0,0x40021004,4194304,#,reference,evt(device-header+system_ch32*.c)
