family,number,name,kind,description,condition,#,confidence,basis
CH32V407,32,DMA1_Channel6,irq,DMA1 Channel 6 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,33,DMA1_Channel7,irq,DMA1 Channel 7 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,34,ADC1_2,irq,ADC1 and ADC2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,35,CAN1_TX,irq,CAN1 TX Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,36,CAN1_RX0,irq,CAN1 RX0 Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,37,CAN1_RX1,irq,CAN1 RX1 Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,38,CAN1_SCE,irq,CAN1 SCE Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,39,EXTI9_5,irq,External Line[9:5] Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,40,TIM1_BRK,irq,TIM1 Break Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,41,TIM1_UP,irq,TIM1 Update Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,42,TIM1_TRG_COM,irq,TIM1 Trigger and Commutation Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,43,TIM1_CC,irq,TIM1 Capture Compare Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,44,TIM2,irq,TIM2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,45,TIM3,irq,TIM3 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,46,TIM4,irq,TIM4 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,47,I2C1_EV,irq,I2C1 Event Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,48,I2C1_ER,irq,I2C1 Error Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,49,I3C_EV,irq,I3C Event Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,50,I3C_ER,irq,I3C Error Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,51,SPI1,irq,SPI1 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,52,SPI2,irq,SPI2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,53,USART1,irq,USART1 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,54,USART2,irq,USART2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,55,USART3,irq,USART3 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,56,EXTI15_10,irq,External Line[15:10] Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,57,RTCAlarm,irq,RTC Alarm through EXTI Line Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,58,USBHS2Wakeup,irq,USBHS2 WakeUp Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,59,TIM8_BRK,irq,TIM8 Break Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,60,TIM8_UP,irq,TIM8 Update Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,61,TIM8_TRG_COM,irq,TIM8 Trigger and Commutation Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,62,TIM8_CC,irq,TIM8 Capture Compare Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,63,RNG,irq,RNG global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,65,SDIO,irq,SDIO global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,66,TIM5,irq,TIM5 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,67,SPI3,irq,SPI3 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,68,USART4,irq,USART4 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,69,USART5,irq,USART5 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,70,TIM6,irq,TIM6 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,71,TIM7,irq,TIM7 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,72,DMA2_Channel1,irq,DMA2 Channel 1 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,73,DMA2_Channel2,irq,DMA2 Channel 2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,74,DMA2_Channel3,irq,DMA2 Channel 3 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,75,DMA2_Channel4,irq,DMA2 Channel 4 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,76,DMA2_Channel5,irq,DMA2 Channel 5 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,77,ETH,irq,ETH global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,78,ETH_WKUP,irq,ETH WakeUp Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,79,LTDC,irq,LTDC Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,80,PSRAM,irq,PSRAM Interrupts,,#,reference,evt(ch32v4x7.h)
CH32V407,81,USART9,irq,USART9 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,82,USART10,irq,USART10 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,83,USBHS1,irq,USBHS1 Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,84,USBHS1Wakeup,irq,USBHS1 WakeUp Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,85,USBHS2,irq,USBHS2 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,86,DVP,irq,DVP global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,87,USART6,irq,USART6 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,88,USART7,irq,USART7 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,89,USART8,irq,USART8 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,90,DMA1_Channel8,irq,DMA1 Channel 8 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,91,DMA1_Channel9,irq,DMA1 Channel 9 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,92,DMA1_Channel10,irq,DMA1 Channel 10 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,93,DMA1_Channel11,irq,DMA1 Channel 11 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,94,DMA1_Channel12,irq,DMA1 Channel 12 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,95,DMA1_Channel13,irq,DMA1 Channel 13 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,96,I3C_Wakeup,irq,I3C Wakeup global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,97,ARGB,irq,ARGB global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,98,DMA2_Channel6,irq,DMA2 Channel 6 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,99,DMA2_Channel7,irq,DMA2 Channel 7 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,100,DMA2_Channel8,irq,DMA2 Channel 8 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,101,DMA2_Channel9,irq,DMA2 Channel 9 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,102,DMA2_Channel10,irq,DMA2 Channel 10 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32V407,103,DMA2_Channel11,irq,DMA2 Channel 11 global Interrupt,,#,reference,evt(ch32v4x7.h)
CH32X035,2,NonMaskableInt,exception,Non Maskable Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,3,EXC,exception,Exception Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,5,Ecall_M_Mode,exception,Ecall M Mode Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,8,Ecall_U_Mode,exception,Ecall U Mode Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,9,Break_Point,exception,Break Point Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,12,SysTick,exception,System timer Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,14,Software,exception,software Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,16,WWDG,irq,Window WatchDog Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,17,PVD,irq,PVD through EXTI Line detection Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,18,FLASH,irq,FLASH global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,20,EXTI7_0,irq,External Line[7:0] Interrupts,,#,reference,evt(ch32x035.h)
CH32X035,21,AWU,irq,AWU global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,22,DMA1_Channel1,irq,DMA1 Channel 1 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,23,DMA1_Channel2,irq,DMA1 Channel 2 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,24,DMA1_Channel3,irq,DMA1 Channel 3 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,25,DMA1_Channel4,irq,DMA1 Channel 4 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,26,DMA1_Channel5,irq,DMA1 Channel 5 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,27,DMA1_Channel6,irq,DMA1 Channel 6 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,28,DMA1_Channel7,irq,DMA1 Channel 7 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,29,ADC1,irq,ADC1 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,30,I2C1_EV,irq,I2C1 Event Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,31,I2C1_ER,irq,I2C1 Error Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,32,USART1,irq,USART1 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,33,SPI1,irq,SPI1 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,34,TIM1_BRK,irq,TIM1 Break Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,35,TIM1_UP,irq,TIM1 Update Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,36,TIM1_TRG_COM,irq,TIM1 Trigger and Commutation Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,37,TIM1_CC,irq,TIM1 Capture Compare Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,38,TIM2_UP,irq,TIM2 Update Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,39,USART2,irq,USART2 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,40,EXTI15_8,irq,External Line[15:8] Interrupts,,#,reference,evt(ch32x035.h)
CH32X035,41,EXTI25_16,irq,External Line[25:16] Interrupts,,#,reference,evt(ch32x035.h)
CH32X035,42,USART3,irq,USART3 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,43,USART4,irq,USART4 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,44,DMA1_Channel8,irq,DMA1 Channel 8 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,45,USBFS,irq,USBFS Host/Device global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,46,USBFSWakeUp,irq,USBFS Host/Device WakeUp Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,47,PIOC,irq,PIOC global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,48,OPA,irq,OPA global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,49,USBPD,irq,USBPD global Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,50,USBPDWakeUp,irq,USBPD WakeUp Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,51,TIM2_CC,irq,TIM2 Capture Compare Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,52,TIM2_TRG_COM,irq,TIM2 Trigger and Commutation Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,53,TIM2_BRK,irq,TIM2 Break Interrupt,,#,reference,evt(ch32x035.h)
CH32X035,54,TIM3,irq,TIM3 global Interrupt,,#,reference,evt(ch32x035.h)
CH32X315,2,NonMaskableInt,exception,Non Maskable Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,3,HardFault,exception,Exception Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,5,Ecall_M_Mode,exception,Ecall M Mode Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,8,Ecall_U_Mode,exception,Ecall U Mode Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,9,Break_Point,exception,Break Point Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,12,SysTick,exception,System timer Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,14,Software,exception,software Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,16,WWDG,irq,Window WatchDog Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,17,EXTI15_8,irq,EXTI Line[15:8] Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,18,FLASH,irq,FLASH global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,19,RCC,irq,RCC global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,20,EXTI7_0,irq,EXTI Line[7:0] Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,21,SPI2,irq,SPI2 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,22,DMA1_Channel1,irq,DMA1 Channel 1 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,23,DMA1_Channel2,irq,DMA1 Channel 2 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,24,DMA1_Channel3,irq,DMA1 Channel 3 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,25,DMA1_Channel4,irq,DMA1 Channel 4 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,26,DMA1_Channel5,irq,DMA1 Channel 5 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,27,DMA1_Channel6,irq,DMA1 Channel 6 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,28,DMA1_Channel7,irq,DMA1 Channel 7 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,29,DMA1_Channel8,irq,DMA1 Channel 8 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,30,DMA1_Channel9,irq,DMA1 Channel 9 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,31,DMA1_Channel10,irq,DMA1 Channel 10 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,32,DMA1_Channel11,irq,DMA1 Channel 11 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,33,USART2,irq,USART2 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,34,I2C1_EV,irq,I2C1 Event Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,35,I2C1_ER,irq,I2C1 Error Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,36,USART1,irq,USART1 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,37,SPI1,irq,SPI1 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,38,TIM1_UP,irq,TIM1 Update Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,39,TIM1_CC,irq,TIM1 Capture Compare Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,40,TIM1_TRG_COM,irq,TIM1 Trigger and Commutation Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,41,TIM1_BRK,irq,TIM1 Break Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,42,TIM2,irq,TIM2 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,43,I2C2_EV,irq,I2C2 Event Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,44,I2C2_ER,irq,I2C2 Error Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,45,USBPD,irq,USBPD global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,46,USBPDWakeUP,irq,USBPD wakeup Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,47,ARGB,irq,ARGB global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,48,TIM3,irq,TIM3 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,49,TIM4,irq,TIM4 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,50,SPI3,irq,SPI3 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,51,USART3,irq,USART3 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,52,USART4,irq,USART4 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,53,USBSS,irq,USBSS global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,54,USBSS_LINK,irq,USBSS Link global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,55,USBHS,irq,USBHS global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,56,USBHSWakeup,irq,USBHS wakeup Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,57,USBSSWakeup,irq,USBSS wakeup Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,58,PVD,irq,PVD Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,59,ADC1,irq,ADC1 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,60,ADC2,irq,ADC2 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,61,ADC3,irq,ADC3 global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,62,RTCAlarm,irq,RTCAlarm_IRQn global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,63,RTC,irq,RTC global Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,64,USART_WKUP,irq,USART wakeup Interrupt,,#,reference,evt(ch32x3x5.h)
CH32X315,65,ADC4,irq,ADC4 global Interrupt,,#,reference,evt(ch32x3x5.h)
