series,selector,value,signal,pad,peripheral,role,#,confidence,basis
CH32H417,afio-uhsif-clk-remap,1,UHSIF_CLK,PC0,UHSIF,CLK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,2,UHSIF_CLK,PF14,UHSIF,CLK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,3,UHSIF_CLK,PD9,UHSIF,CLK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT0,PF12,UHSIF,PORT0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT1,PF13,UHSIF,PORT1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT10,PE15,UHSIF,PORT10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT11,PB10,UHSIF,PORT11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT12,PB11,UHSIF,PORT12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT13,PB12,UHSIF,PORT13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT14,PB13,UHSIF,PORT14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT15,PB14,UHSIF,PORT15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT16,PD10,UHSIF,PORT16,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT17,PD11,UHSIF,PORT17,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT18,PD12,UHSIF,PORT18,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT19,PD13,UHSIF,PORT19,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT2,PE7,UHSIF,PORT2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT20,PD14,UHSIF,PORT20,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT21,PD15,UHSIF,PORT21,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT22,PF0,UHSIF,PORT22,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT23,PF1,UHSIF,PORT23,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT24,PF2,UHSIF,PORT24,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT25,PC6,UHSIF,PORT25,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT26,PC7,UHSIF,PORT26,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT27,PC8,UHSIF,PORT27,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT28,PC9,UHSIF,PORT28,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT29,PA13,UHSIF,PORT29,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT3,PE8,UHSIF,PORT3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT30,PA14,UHSIF,PORT30,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT31,PA15,UHSIF,PORT31,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT32,PC10,UHSIF,PORT32,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT33,PC11,UHSIF,PORT33,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT34,PC12,UHSIF,PORT34,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT35,PD0,UHSIF,PORT35,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT36,PD1,UHSIF,PORT36,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT37,PD2,UHSIF,PORT37,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT38,PD3,UHSIF,PORT38,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT39,PD4,UHSIF,PORT39,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT4,PE9,UHSIF,PORT4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT40,PD5,UHSIF,PORT40,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT41,PD6,UHSIF,PORT41,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT42,PD7,UHSIF,PORT42,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT43,PF3,UHSIF,PORT43,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT44,PF4,UHSIF,PORT44,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT45,PF5,UHSIF,PORT45,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT46,PE0,UHSIF,PORT46,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT47,PE1,UHSIF,PORT47,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,0,UHSIF_PORT5,PE10,UHSIF,PORT5,#,reference,candidates(datasheet-pin-table-default:en)
