family,group,example,description,#,confidence,basis,source
CH32H417,ADC,ADC_DMA,ADC DMA sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,AnalogWatchdog,analog watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Auto_Injection,automatic injection mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Discontinuous_mode,discontinuous mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_AlternateTrigger,dual ADC alternate trigger sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_Combined_RegInjectionSimul,dual ADC combined regular + injection + simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_FastInterleaved,dual ADC fast interleaved sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_InjectionSimul,dual ADC injection simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_RegSimul,dual ADC regular simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_SlowInterleaved,dual ADC slow interleaved sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualDAC_Triangle,Dual DAC output triangular wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Internal_Temperature,Internal temperature sensor routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,TIM_Trigger,TIM trigger ADC conversion routine,#,confirmed,evt:tree+evt:list-en,CH32H417_List_EN.txt
CH32H417,ADC,TIM_trigger,,#,confirmed,evt:tree+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,FATFS_eMMC,Eight-line operation EMMC card porting file read-write system FATFS,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,LTDC_LVGL,use LTDC driver to display some animations on the LCD,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,SoftUART,I/O port simulation serial port routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,Networking,"CAN routine: normal mode, standard frame and expanded frame data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,TestMode,"test mode, including silent mode, loopback mode and loopback silent mode",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,Time-triggered,time triggered communication mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,CoreMark,CoreMark routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,FPU,FPU hardware floating point operation routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_CoreNotification,HSEM CoreNotication routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_CoreSync,core synchronization routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_DataSharing,HSEM global variable Sharing routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_ResourceSharing,HSEM ResourceSharing routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,ICache,ICache routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT/Interrupt_Permission,Custom interrupt permission routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT/Interrupt_VTF,VTF interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,IPC,IPC routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,OS,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,OS/FreeRTOS,FreeRTOS routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC/Interrupt_Nest,interrupt nested routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC/Interrupt_VTF,VTF IRQ interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PMP,Physical memory protection routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,SYSTICK_Interrupt,Systick timer routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CRC,CRC_Calculation,CRC routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_DMA,DAC DMA conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Exit_9_Trig,external trigger DAC conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Noise_Generation,noise waveform generation routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Normal_OUT,normal output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DualDAC_SineWave,dual DAC output sine wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DualDAC_Triangle,dual DAC output triangular wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_DualFliter,Double filter conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_EXTITrigger,EXTI triggers the conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_I2S_Audio,"DFSDM collects PDM stereo audio, and I2S synchronizes the playback routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_InternalADC,Internal ADC parallel data input conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_InternalDualMode,"Internal parallel input, dual-channel mode conversion routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_InternalInterleavedMode,"Internal parallel input, alternating mode conversion routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_InternalStandardMode,"Internal parallel input, standard mode conversion routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_SAI_Audio,"The routine demonstrates the use of DFSDM to capture PDM stereo audio, which is synchronously played back by SAI",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_SerialSPI,External serial input conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_Synchronous_Regular,Rule group synchronous conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DFSDM,DFSDM_TIMTrigger,Timer triggers the conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DMA,DMA_MEM2MEM,memory to memory mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DMA,DMA_MEM2PERIP,see each peripheral subroutine for memory to peripheral mode and peripheral to memory mode routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DMA,DoubleBuffer_DMA,Double Buffer mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DMA,TIM_DMA_SLEEP_MODE,DMA routine in sleep mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DVP,DVP_LTDC,The routine demonstrates the image acquisition by a DVP interface camera and its real-time display on a TFTLCD through LTDC,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DVP,DVP_TFTLCD,DVP routine to operate OV2640 and OV5640 camera video mode to display image on LCD,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DVP,DVP_UART,DVP routine to operate OV2640 camera JPEG mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ECDC,RAM_Block,ECDC RAM Block Self-encryption and decryption routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ECDC,Single_Time,ECDC Single encryption and decryption routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,DHCP,DHCP demonstration routine to obtain IP automatically,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,DNS,DHCP demonstration routine to obtain IP automatically and then request domain name resolution,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,IPRaw_PING,"IP_RAW routine, to demonstrate that the TCP client receives data after connecting to the server and then sends it back",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,IoCHub,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,IoCHub/IoCHub_Demo,"IoCHub basic routines, using AT commands to implement IoCHub's basic function demonstration on MCU",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,IoCHub/IoCHub_UART,"IoCHub UART routine, demonstrating data transparent transmission between IoCHub and UART",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,IoCHub/Lib,IoCHub library,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,MAC_RAW,Demo of ETH MAC layer data transmission and reception,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,MQTT,"MQTT routine, to demonstrate MQTT protocol communication based on TCP/IP",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,NetLib,ETH Library,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,TcpClient,demonstration routine that TCP client receives data after connecting to the server and then returns data,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,TcpServer,demonstration routine that TCP server receives data after connecting to the client and then returns data,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,UdpClient,demonstration routine that Udp Client receives data and returns data,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,UdpServer,demonstration routine that Udp Server receives data and returns data,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ETH,WebServer,"Web Server routine, to demonstrate the configuration of WCHNET device functions through Web browser. As the WCHNET devices have built-in web server, the network parameter configuration and password management of WCHNET can be implemented on the web page.",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,EXTI,EXTI0,External Interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FLASH,FLASH_Program,"FLASH erase/read/write, and fast programming",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FLASH,LoadInFlash,Transfer code in FLASH during startup process,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,LCD,FSMC operation TFTLCD routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,LCD_8bit,8-bit data bus LCD routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,NAND,FSMC operation NANDFFLASH routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,NORFLASH,FSMC operation NORFLASH routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,SDRAM,FSMC operates NOR_SRAM routine through DMA,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,SDRAM-16bit,FSMC operation 16bit_SDRAM routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,SDRAM-16bit_DMA,FSMC operates 16bit_SDRAM routine through DMA,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,SDRAM-32bit,FSMC operation 32bit_SDRAM routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,FMC,SDRAM-32bit_DMA,FSMC operates 32bit_SDRAM routine through DMA,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,GPHA,GPHA_M2M_WithLCD,"The GPHA routine expands the color lookup table image, blends it with a solid color background, and finally displays it on the LCD",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,GPHA,GPHA_R2M,Comparison between GPHA solid color filling and software filling,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,GPIO,GPIO_Toggle,GPIO routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,HSADC,HSADC,HSADC sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_10bit_Mode,"10 bit address mode, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_7bit_Interrupt_Mode,Use interrupt to receive and send routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_7bit_Mode,"7-bit address mode, master/slave mode, transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_DMA,"I2C DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_EEPROM,I2C interface routine to operate EEPROM peripheral,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2C,I2C_PEC,"PEC error check, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2S,HostRx_SlaveTx,I2S master receiver slave transmitter routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2S,I2S_DMA,I2S master transmitter slave receiver DMA routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I2S,I3C_Controller_Check_ZeroIBI,The I3C controller receives an IBI of 0 bytes routine,#,reference,evt:list-en,CH32H417_List_EN.txt
CH32H417,I3C,I3C_Controller_Check_ZeroIBI,,#,confirmed,evt:tree+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I3C,I3C_DMA_Controller,I3C master routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,I3C,I3C_DMA_Target,I3C slave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,IAP,USB_UART,USB+UART IAP routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,IWDG,IWDG,Independent Watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,LPTIM,LPTIM_LP_WakeUp,LPTIM sleep，shutdown wakeup routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,LPTIM,PWM_OnePulse_SingleMode,"LPTIM output PWM, single pulse, once set mode waveform routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,LTDC,LTDC_Display,LTDC display routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,OPA,CMP,CMP routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,OPA,OPA,OPA routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,1-Wire,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,1-Wire/1-Wire,1 wire operate WS2812 and DS1820,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,1-Wire/Asm,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_IIC,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_IIC/Asm,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_IIC/PIOC_IIC,PIOC simulates IIC,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_NEC,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_NEC/Asm,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_NEC/PIOC_NEC,PIOC Infrared Remote Control Routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_Single_Wire,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_Single_Wire/Asm,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_Single_Wire/PIOC_Single_Wire,Single-wire debug interface to read and write external chip RAM data,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_UART,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_UART/Asm,,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,PIOC_UART/PIOC_UART,PIOC simulates UART,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,Tool_Manual,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,Tool_Manual/Manual,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PIOC,Tool_Manual/Tool,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,PVD_VoltageJudger,PVD voltage Judger routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,SEL_VIO18,VIO18 software configuration routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,Sleep_Mode,"low power, sleep mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,Stop_Mode,"low power, stop mode routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,VDD12_ExternPower,VDD 1.2V external power supply routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,PWR,VDD12_ExternPowerInStopLP,"Routine demonstration of STOPLP mode, VDD 1.2v external power supply, current reduction method",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,QSPI,QSPI_FLASH,QSPI operate Winbond W25Qxx SPI_FLASH routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,QSPI,QSPI_FLASH_DMA,QSPI operates the Winbond W25Qxx SPI_FLASH routine through DMA,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,QSPI,QSPI_MemoryMap,This example describes how to use QSPI in memory-map mode and how to perform DMA mode read operations in memory-map mode.,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RCC,Get_CLK,Get system-HCLK-Core-ADCCLK clock routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RCC,HSI_Calibration,HSI calibrate routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RCC,MCO,MCO pin clock output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RNG,RNG,Random number generator routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RTC,RTC_Calendar,Calendar routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,RTC,RTC_Calibration,RTC calibrate routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SAI,SAI_Play,SAI audio routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SDIO,SDIO_SD,SDIO routine to operate SD card,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SDIO,SDIO_eMMC,SDIO routine to operate EMMC card,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SDMMC,SDMMC-eMMC,SDMMC operate EMMC card routine,#,reference,evt:list-en,CH32H417_List_EN.txt
CH32H417,SDMMC,SDMMC_SD,SDMMC operate SD card routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SDMMC,SDMMC_eMMC,,#,confirmed,evt:tree+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SDMMC,SDMMC_eMMC_DDR,SDMMC operates the eMMC card double-edge read-write routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SPI,1Lines_half-duplex,"single wire half duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SPI,2Lines_FullDuplex,"two-wire full duplex mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SPI,FullDuplex_HardNSS,"Hardware NSS mode, master/slave mode, data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SPI,SPI_DMA,"SPI uses DMA, master/slave mode transceiver routine",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SPI,SPI_FLASH,SPI interface operation flash peripheral routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SWPMI,SWPMI_MultiBUffering,SWPMI Multi-buffer mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SWPMI,SWPMI_SwpCard,SWP card routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SerDes,AcquireConfig,SerDes obtaints configuration routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,SerDes,FullDuxTrans,SerDes full-duplex bidirectional transmission routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Bothedge_Capture,Timer Bothedge Capture routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Clock_Select,clock source selection routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,ComplementaryOutput_DeadTime,complementary output and deadband insertion mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Dead_Asymmetry,Timer Asymmetry routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Encode,Timer encoder mode routine,#,reference,evt:list-en,CH32H417_List_EN.txt
CH32H417,TIM,Encoder,,#,confirmed,evt:tree+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,ExtTrigger_Start_Two_Timer,external trigger routine to start two timers synchronously,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Input_Capture,input capture routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,One_Pulse,single pulse output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,PWM_Output,PWM output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Synchro_ExtTrigger,"slave mode routine, including reset mode, gating mode and trigger mode",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,Synchro_Timer,timer synchronization mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,TIM_Continuous,Timer continuous routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,TIM_DMA,timer DMA routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TIM,TIM_INT,Timer interput mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TKey,TKEYLIB,TouchKey Library,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,TKey,TKY_8keys,TouchKey 8Keys detection routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
