document,kind,status,repositories,version_zh,version_en,page_url_zh,page_url_en,download_url_zh,download_url_en,mirror_url_zh,mirror_url_en
WCH-LinkUserManual.PDF,other,assigned,WCH-common,2.8,2.7,https://www.wch.cn/downloads/WCH-LinkUserManual_PDF.html,https://www.wch-ic.com/downloads/WCH-LinkUserManual_PDF.html,https://file.wch.cn/download/file?id=417,https://www.wch-ic.com/download/file?id=372,https://ch32-riscv-ug.github.io/WCH-common/datasheet_zh/WCH-LinkUserManual.PDF,https://ch32-riscv-ug.github.io/WCH-common/datasheet_en/WCH-LinkUserManual.PDF
WCH-LinkUtility.ZIP,other,excluded,,3.0,,https://www.wch.cn/downloads/WCH-LinkUtility_ZIP.html,,https://file.wch.cn/download/file?id=418,,,
WCHBleLib_MultiOS.ZIP,other,excluded,,1.5,,https://www.wch.cn/downloads/WCHBleLib_MultiOS_ZIP.html,,https://file.wch.cn/download/file?id=349,,,
WCHISPTool_CMD.ZIP,other,excluded,,4.0,3.6,https://www.wch.cn/downloads/WCHISPTool_CMD_ZIP.html,https://www.wch-ic.com/downloads/WCHISPTool_CMD_ZIP.html,https://file.wch.cn/download/file?id=424,https://www.wch-ic.com/download/file?id=365,,
WCHISPTool_Setup.exe,other,excluded,,4.0,3.6,https://www.wch.cn/downloads/WCHISPTool_Setup_exe.html,https://www.wch-ic.com/downloads/WCHISPTool_Setup_exe.html,https://file.wch.cn/download/file?id=196,https://www.wch-ic.com/download/file?id=196,,
WCHIoCHubLib_MultiOS.ZIP,other,excluded,,1.2,,https://www.wch.cn/downloads/WCHIoCHubLib_MultiOS_ZIP.html,,https://file.wch.cn/download/file?id=436,,,
WCHToolKit.ZIP,other,excluded,,1.1,,https://www.wch.cn/downloads/WCHToolKit_ZIP.html,,https://file.wch.cn/download/file?id=579,,,
WCHUSBList.ZIP,other,excluded,,1.3,,https://www.wch.cn/downloads/WCHUSBList_ZIP.html,,https://file.wch.cn/download/file?id=513,,,
WCH_InSystemProgramTool_V330.exe,other,excluded,,3.3,,https://www.wch.cn/downloads/WCH_InSystemProgramTool_V330_exe.html,,https://file.wch.cn/download/file?id=423,,,
WCH_Mesh_Android.ZIP,other,excluded,,1.2,,https://www.wch.cn/downloads/WCH_Mesh_Android_ZIP.html,,https://file.wch.cn/download/file?id=403,,,
WCH_TouchApplicationGuide.PDF,other,excluded,,1.0,1.0,https://www.wch.cn/downloads/WCH_TouchApplicationGuide_PDF.html,https://www.wch-ic.com/downloads/WCH_TouchApplicationGuide_PDF.html,https://file.wch.cn/download/file?id=521,https://www.wch-ic.com/download/file?id=419,,
