family,block,register,unit,offset,address,field,bits,mask,purpose,#,confidence,basis
CH32X035,OPA,CTLR1,OPA,0x04,0x40026004,NSEL2,24:22,0x1c00000,negative input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR1,OPA,0x04,0x40026004,OPA_LOCK,31,0x80000000,lock,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR1,OPA,0x04,0x40026004,PSEL1,4:3,0x18,positive input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR1,OPA,0x04,0x40026004,PSEL2,20:19,0x180000,positive input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,CMP_LOCK,13,0x2000,lock,#,conflict,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=31)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,EN1,0,0x1,enable,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,EN2,5,0x20,enable,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,EN3,10,0x400,enable,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,MODE1,1,0x2,output mode,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,MODE2,6,0x40,output mode,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,MODE3,11,0x800,output mode,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,NSEL1,2,0x4,negative input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,NSEL2,7,0x80,negative input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,NSEL3,12,0x1000,negative input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,PSEL1,3,0x8,positive input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,PSEL2,8,0x100,positive input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,OPA,CTLR2,OPA,0x08,0x40026008,PSEL3,13,0x2000,positive input select,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
