series,symbol,parameter,condition,min,max,unit,#,confidence,basis,datasheet
CH32V208,F_HCLK,Internal HB clock frequency,,,144,MHz,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,F_PCLK1,Internal PB1 clock frequency,,,144,MHz,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,F_PCLK2,Internal PB2 clock frequency,,,144,MHz,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,V_DD,Standard operating voltage,,2.4,3.6,V,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V208,V_DD,Standard operating voltage,Use USB or ETH,3.0,3.6,V,#,confirmed,CH32V208DS0.PDF:zh(p.23)+CH32V208DS0.PDF:en(p.27),CH32V208DS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,F_HCLK,Internal HB clock frequency,,,144,MHz,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,F_PCLK1,Internal PB1 clock frequency,,,144,MHz,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,F_PCLK2,Internal PB2 clock frequency,,,144,MHz,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_DD,Standard operating voltage,USB or ETH not used.,2.4,3.6,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
CH32V303;CH32V305;CH32V307;CH32V317,V_DD,Standard operating voltage,Use USB or ETH,3.0,3.6,V,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.52)+CH32V20x_30xDS0.PDF:en(p.59),CH32V20x_30xDS0.PDF
