body_size,datasheet,family_dir,flash_bytes,gpio_count,package,package_ordering,packing,part_number,pin_count,pin_pitch,sram_bytes,temperature,body_size_confidence,flash_bytes_confidence,gpio_count_confidence,package_confidence,package_ordering_confidence,packing_confidence,pin_count_confidence,pin_pitch_confidence,sram_bytes_confidence,temperature_confidence
3*3mm,CH32V004DS0.PDF,CH32V006,32768,18,QFN20,QFN20,,CH32V004F6U1,,0.4mm,6144,,confirmed,confirmed,confirmed,conflict,conflict,,missing,confirmed,confirmed,missing
2*2mm,CH32V006DS0.PDF,CH32V006,32768,11,QFN12,QFN12,,CH32V005D6U6,,0.4mm,6144,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V006DS0.PDF,CH32V006,32768,22,QSOP24,QSOP24,,CH32V005E6R6,,0.635mm,6144,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4.4*6.5mm,CH32V006DS0.PDF,CH32V006,32768,18,TSSOP20,TSSOP20,,CH32V005F6P6,,0.65mm,6144,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3*3mm,CH32V006DS0.PDF,CH32V006,32768,18,QFN20,QFN20,,CH32V005F6U6,,0.4mm,6144,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
2*2mm,CH32V006DS0.PDF,CH32V006,63488,11,QFN12,QFN12,,CH32V006D8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V006DS0.PDF,CH32V006,63488,22,QSOP24,QSOP24,,CH32V006E8R6,,0.635mm,8192,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V006DS0.PDF,CH32V006,63488,22,QSOP24,QSOP24,,CH32V006E8R7,,0.635mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3*3mm,CH32V006DS0.PDF,CH32V006,16384,18,QFN20,QFN20,,CH32V006F4U6,,0.4mm,4096,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4.4*6.5mm,CH32V006DS0.PDF,CH32V006,63488,18,TSSOP20,TSSOP20,,CH32V006F8P7,,0.65mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3*3mm,CH32V006DS0.PDF,CH32V006,63488,18,QFN20,QFN20,,CH32V006F8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4*4mm,CH32V006DS0.PDF,CH32V006,63488,31,QFN32,QFN32,,CH32V006K8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V007DS0.PDF,CH32V006,63488,15,QSOP24,QSOP24,,CH32M007E8R6,,0.635mm,8192,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3*3mm,CH32V007DS0.PDF,CH32V006,63488,16,QFN26C3,QFN26C3,,CH32M007E8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*9.9mm,CH32V007DS0.PDF,CH32V006,63488,12,QSOP28,QSOP28,,CH32M007G8R6,,0.635mm,8192,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4*4mm,CH32V007DS0.PDF,CH32V006,63488,17,QFN32,QFN32,,CH32M007K8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V007DS0.PDF,CH32V006,63488,22,QSOP24,QSOP24,,CH32V007E8R6,,0.635mm,8192,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
3.9*8.7mm,CH32V007DS0.PDF,CH32V006,63488,22,QSOP24,QSOP24,,CH32V007E8R7,,0.635mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4*4mm,CH32V007DS0.PDF,CH32V006,63488,31,QFN32,QFN32,,CH32V007K8U6,,0.4mm,8192,85℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
4*4mm,CH32V007DS0.PDF,CH32V006,63488,31,QFN32,QFN32,,CH32V007K8U7,,0.4mm,8192,105℃,confirmed,confirmed,confirmed,confirmed,confirmed,,missing,confirmed,confirmed,confirmed
7*7mm,CH32V103DS0.PDF,CH32V103,32768,37,LQFP48,LQFP48,Tray,CH32V103C6T6,48,0.5mm,10240,-40..85C,en-only,confirmed,confirmed,confirmed,confirmed,en-only,confirmed,confirmed,confirmed,confirmed
