series,selector,register,bits,value,peripheral,role,signal,pad,port,gpio,#,confidence,basis
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,D6,SDMMC_D6,PD6,D,6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,D7,SDMMC_D7,PD7,D,7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,SDCK,SDMMC_SDCK,PC12,C,12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,SLVCK,SDMMC_SLVCK,PC12,C,12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,STR,SDMMC_STR,PC11,C,11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,2,SDMMC,STS,SDMMC_STS,PC10,C,10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,CMD,SDMMC_CMD,PC10,C,10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D0,SDMMC_D0,PD0,D,0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D1,SDMMC_D1,PD1,D,1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D2,SDMMC_D2,PD2,D,2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D3,SDMMC_D3,PD3,D,3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,3,SDMMC,D4,SDMMC_D4,PD4,D,4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
