family,variant,dma,channel,request_id,peripheral,request,remap,spelled,note,#,confidence,basis
CH32H417,,,,32,TIM8,TIM8_CH1,,TIM8_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,33,TIM8,TIM8_CH2,,TIM8_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,34,TIM8,TIM8_CH3,,TIM8_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,35,TIM8,TIM8_CH4,,TIM8_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,36,TIM8,TIM8_UP,,TIM8_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,37,TIM8,TIM8_COM,,TIM8_COM,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,38,TIM8,TIM8_TRIG,,TIM8_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,39,TIM9,TIM9_CH1,,TIM9_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,40,TIM9,TIM9_CH2,,TIM9_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
CH32H417,,,,41,TIM9,TIM9_CH3,,TIM9_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.183)
