family,type,layout,registers,fields,size_bytes,#,confidence,basis
CH32X315,IWDG,f3da205e,4,8,16,#,reference,evt(ch32x3x5.h)
CH32X315,OB,4e4eca95,8,0,16,#,reference,evt(ch32x3x5.h)
CH32X315,PWR,b0b8106e,2,13,8,#,reference,evt(ch32x3x5.h)
CH32X315,RCC,5aa8885b,11,275,48,#,reference,evt(ch32x3x5.h)
CH32X315,RTC,2df7eac9,10,23,40,#,reference,evt(ch32x3x5.h)
CH32X315,SPI,bcbe91b3,8,37,40,#,reference,evt(ch32x3x5.h)
CH32X315,TIM,a8134962,27,208,80,#,reference,evt(ch32x3x5.h)
CH32X315,USART,9f79729b,8,75,32,#,reference,evt(ch32x3x5.h)
CH32X315,USBHSD,62bd91e7,99,0,248,#,reference,evt(ch32x3x5.h)
CH32X315,USBHSH,cf8325ec,22,0,64,#,reference,evt(ch32x3x5.h)
CH32X315,USBHSI,f82b0051,1,0,4,#,reference,evt(ch32x3x5.h)
CH32X315,USBPD,5bcded72,17,0,20,#,reference,evt(ch32x3x5.h)
CH32X315,USBSSD,c8d0e063,44,0,320,#,reference,evt(ch32x3x5.h)
CH32X315,USBSS_EP_RX,5d5aca76,11,0,16,#,reference,evt(ch32x3x5.h)
CH32X315,USBSS_EP_TX,7f9a8ccc,11,0,16,#,reference,evt(ch32x3x5.h)
CH32X315,WWDG,86a61c3e,3,22,12,#,reference,evt(ch32x3x5.h)
