table,family,series,part_number,subject,field,kept,dissenting,alternative,#,basis
operating_conditions,,CH32V407;CH32V467,,series=CH32V407;CH32V467 symbol=t_SU(LSE) parameter=Startup time condition=V is stable DD,,,CH32V407DS0.PDF:zh,unit=ms,#,CH32V407DS0.PDF:en(p.57)+!CH32V407DS0.PDF:zh(unit=ms)
operating_conditions,,CH32V407;CH32V467,,"series=CH32V407;CH32V467 symbol=t_WUSTDBY parameter=Wakeup from Standby mode condition=Wakeup time from low-power mode(1); LDO settling time+HSI RC clock wake-up+code loading time (1) (for example, 512K)",,,CH32V407DS0.PDF:zh,unit=ms,#,CH32V407DS0.PDF:en(p.59)+!CH32V407DS0.PDF:zh(unit=ms)
operating_conditions,,CH32X033;CH32X035,,series=CH32X033;CH32X035 symbol=V_DD parameter=Supply voltage condition=Performance may be reduced,,,CH32X035DS0.PDF:zh,"min=3.0,typ=5,max=5.3",#,"CH32X035DS0.PDF:en(p.36)+!CH32X035DS0.PDF:zh(min=3.0,typ=5,max=5.3)"
operating_conditions,,CH32X305;CH32X315,,"series=CH32X305;CH32X315 symbol=I_DD parameter=Supply current in Stop mode condition=Typical current consumption in Stop mode; The regulator is in normal mode, the low-speed and high-speed internal RC oscillators and the external oscillator are off (no independent watchdog)",,,CH32X315DS0.PDF:zh,typ=1.1,#,CH32X315DS0.PDF:en(p.37)+!CH32X315DS0.PDF:zh(typ=1.1)
operating_conditions,,CH32X305;CH32X315,,"series=CH32X305;CH32X315 symbol=I_DD parameter=Supply current in Stop mode condition=Typical current consumption in Stop mode; The voltage regulator is in low power mode, the low-speed and high-speed internal RC oscillators and the external oscillator are off (no independent watchdog, PVD is off)",,,CH32X315DS0.PDF:zh,typ=1.0,#,CH32X315DS0.PDF:en(p.37)+!CH32X315DS0.PDF:zh(typ=1.0)
operating_conditions,,CH32X305;CH32X315,,series=CH32X305;CH32X315 symbol=t_erase_sec parameter=Sector erase time condition=T_A = -40℃~85℃,,,CH32X315DS0.PDF:zh,max=,#,CH32X315DS0.PDF:en(p.40)+!CH32X315DS0.PDF:zh(max=)
operating_conditions,,CH32X305;CH32X315,,series=CH32X305;CH32X315 symbol=t_prog_page parameter=Page (256 bytes) programming time condition=T_A = -40℃~85℃,,,CH32X315DS0.PDF:zh,max=,#,CH32X315DS0.PDF:en(p.40)+!CH32X315DS0.PDF:zh(max=)
option_byte_fields,CH32M030,,,family=CH32M030 byte=USER bits=[4:3],,,CH32M030RM.PDF:zh,field=RST_MODE[1:0],#,CH32M030RM.PDF:en(p.261)+!CH32M030RM.PDF:zh(field=RST_MODE[1:0])
option_byte_fields,CH32V003,,,family=CH32V003 byte=USER bits=0,,,CH32V003RM.PDF:zh,field=IWDG_SW,#,CH32V003RM.PDF:en(p.183)+!CH32V003RM.PDF:zh(field=IWDG_SW)
option_byte_fields,CH32V205,,,family=CH32V205 byte=USER bits=0,,,CH32V205RM.PDF:zh,field=IWDGSW,#,CH32V205RM.PDF:en(p.451)+!CH32V205RM.PDF:zh(field=IWDGSW)
option_byte_fields,CH32X315,,,family=CH32X315 byte=WRPR0-WRPR3,,,CH32X315RM.PDF:zh,wrpr_bit_protects=1 sector (4KB/sector),#,CH32X315RM.PDF:en(p.361)+!CH32X315RM.PDF:zh(wrpr_bit_protects=1 sector (4KB/sector))
pin_functions,,,CH32V103C6T6,part_number=CH32V103C6T6 pad=PB4 signal=TIM3_CH1 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103C6T6,part_number=CH32V103C6T6 pad=PB5 signal=TIM3_CH2 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103C8T6,part_number=CH32V103C8T6 pad=PB4 signal=TIM3_CH1 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103C8T6,part_number=CH32V103C8T6 pad=PB5 signal=TIM3_CH2 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103C8U6,part_number=CH32V103C8U6 pad=PB4 signal=TIM3_CH1 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103C8U6,part_number=CH32V103C8U6 pad=PB5 signal=TIM3_CH2 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PB4 signal=TIM3_CH1 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PB5 signal=TIM3_CH2 route=remap-1,route,remap-1,rm-remap-grid,remap-2,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-2)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PC6 signal=TIM3_CH1 route=remap-1,route,remap-1,rm-remap-grid,remap-3,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-3)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PC7 signal=TIM3_CH2 route=remap-1,route,remap-1,rm-remap-grid,remap-3,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-3)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PC8 signal=TIM3_CH3 route=remap-1,route,remap-1,rm-remap-grid,remap-3,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-3)
pin_functions,,,CH32V103R8T6,part_number=CH32V103R8T6 pad=PC9 signal=TIM3_CH4 route=remap-1,route,remap-1,rm-remap-grid,remap-3,#,pin-table:zh+pin-table:en+!rm-remap-grid(=remap-3)
product_attributes,,,CH32H416RDU6,part_number=CH32H416RDU6 attribute=pdusb_usbpd_type_c,value,1 Built-in Rd(4),products:zh,1 built-in Rd(4),#,products:en+!products:zh(=1 built-in Rd(4))
product_attributes,,,CH32H417WEU6,part_number=CH32H417WEU6 attribute=opa,value,2 (OPA1/3),products:zh,1（OPA1）,#,products:en+!products:zh(=1（OPA1）)
product_attributes,,,CH32L103C8T6,part_number=CH32L103C8T6 attribute=main_applications_and_features,value,"General-purpose, Pin compatible",products:zh,"General purpose, pin-compatible",#,"products:en+!products:zh(=General purpose, pin-compatible)"
product_attributes,,,CH32L103F8P6,part_number=CH32L103F8P6 attribute=main_applications_and_features,value,"General-purpose, Pin compatible",products:zh,"General purpose, pin-compatible",#,"products:en+!products:zh(=General purpose, pin-compatible)"
product_attributes,,,CH32L103F8U6,part_number=CH32L103F8U6 attribute=communication_interface_pdusb_usb_pd_type_c,value,DRP Source Sink Built-in Rd(1),products:zh,"DRP/Source/Sink, built-in Rd(1)",#,"products:en+!products:zh(=DRP/Source/Sink, built-in Rd(1))"
product_attributes,,,CH32L103F8U6,part_number=CH32L103F8U6 attribute=main_applications_and_features,value,"General-purpose, pin optimized",products:zh,"General purpose, pin-optimized",#,"products:en+!products:zh(=General purpose, pin-optimized)"
product_attributes,,,CH32L103G8R6,part_number=CH32L103G8R6 attribute=main_applications_and_features,value,"General-purpose, motor master",products:zh,"General purpose, motor main control",#,"products:en+!products:zh(=General purpose, motor main control)"
product_attributes,,,CH32L103K8U6,part_number=CH32L103K8U6 attribute=communication_interface_pdusb_usb_pd_type_c,value,DRP Source Sink Built-in Rd(1),products:zh,"DRP/Source/Sink, built-in Rd(1)",#,"products:en+!products:zh(=DRP/Source/Sink, built-in Rd(1))"
product_attributes,,,CH32L103K8U6,part_number=CH32L103K8U6 attribute=main_applications_and_features,value,"General-purpose, pin optimized",products:zh,"General purpose, pin-optimized",#,"products:en+!products:zh(=General purpose, pin-optimized)"
product_attributes,,,CH32L103K8U7,part_number=CH32L103K8U7 attribute=communication_interface_pdusb_usb_pd_type_c,value,DRP Source Sink Built-in Rd(1),products:zh,"DRP/Source/Sink, built-in Rd(1)",#,"products:en+!products:zh(=DRP/Source/Sink, built-in Rd(1))"
product_attributes,,,CH32L103K8U7,part_number=CH32L103K8U7 attribute=main_applications_and_features,value,"General-purpose, pin optimized",products:zh,"General purpose, pin-optimized",#,"products:en+!products:zh(=General purpose, pin-optimized)"
product_attributes,,,CH32M030C8T7,part_number=CH32M030C8T7 attribute=current_sampling_isp_isn,value,Differential *2,products:zh,2 differential,#,products:en+!products:zh(=2 differential)
product_attributes,,,CH32M030C8U3,part_number=CH32M030C8U3 attribute=communication_interface_pdusb_usb_pd_type_c,value,"(CC1R, CC2R) (CC3, CC4) Built-in Rd(1)",products:zh,"(CC1R,CC2R)(CC3,CC4), built-in Rd(1)",#,"products:en+!products:zh(=(CC1R,CC2R)(CC3,CC4), built-in Rd(1))"
product_attributes,,,CH32M030C8U3,part_number=CH32M030C8U3 attribute=current_sampling_isp_isn,value,Differential*2,products:zh,2 differential,#,products:en+!products:zh(=2 differential)
product_attributes,,,CH32M030C8U7,part_number=CH32M030C8U7 attribute=communication_interface_pdusb_usb_pd_type_c,value,"(CC1R, CC2R) (CC3, CC4) Built-in Rd(1)",products:zh,"(CC1R,CC2R)(CC3,CC4), built-in Rd(1)",#,"products:en+!products:zh(=(CC1R,CC2R)(CC3,CC4), built-in Rd(1))"
product_attributes,,,CH32M030C8U7,part_number=CH32M030C8U7 attribute=current_sampling_isp_isn,value,Differential *2,products:zh,2 differential,#,products:en+!products:zh(=2 differential)
product_attributes,,,CH32M030G8R7,part_number=CH32M030G8R7 attribute=current_sampling_isp_isn,value,Differential *2,products:zh,2 differential,#,products:en+!products:zh(=2 differential)
product_attributes,,,CH32M030K8U7,part_number=CH32M030K8U7 attribute=communication_interface_pdusb_usb_pd_type_c,value,"(CC1R, CC2R) (CC3, CC4) Built-in Rd(1)",products:zh,"(CC1R,CC2R)(CC3,CC4), built-in Rd(1)",#,"products:en+!products:zh(=(CC1R,CC2R)(CC3,CC4), built-in Rd(1))"
product_attributes,,,CH32M030K8U7,part_number=CH32M030K8U7 attribute=current_sampling_isp_isn,value,Differential *1 Single end*1,products:zh,1 differential + 1 single-ended,#,products:en+!products:zh(=1 differential + 1 single-ended)
product_attributes,,,CH32M103G8R6,part_number=CH32M103G8R6 attribute=main_applications_and_features,value,"With gate drive, dedicated for motor",products:zh,"With pre-driver, motor-dedicated",#,"products:en+!products:zh(=With pre-driver, motor-dedicated)"
product_attributes,,,CH32V103C6T6,part_number=CH32V103C6T6 attribute=cpu_clock_frequency,value,Typical: 72MHz,products:zh,Typ. 72MHz,#,products:en+!products:zh(=Typ. 72MHz)
product_attributes,,,CH32V103C8T6,part_number=CH32V103C8T6 attribute=cpu_clock_frequency,value,Typical: 72MHz,products:zh,Typ. 72MHz,#,products:en+!products:zh(=Typ. 72MHz)
product_attributes,,,CH32V103C8U6,part_number=CH32V103C8U6 attribute=cpu_clock_frequency,value,Typical: 72MHz,products:zh,Typ. 72MHz,#,products:en+!products:zh(=Typ. 72MHz)
product_attributes,,,CH32V103R8T6,part_number=CH32V103R8T6 attribute=cpu_clock_frequency,value,Typical: 72MHz,products:zh,Typ. 72MHz,#,products:en+!products:zh(=Typ. 72MHz)
product_attributes,,,CH32X315MCU6,part_number=CH32X315MCU6 attribute=pdusb_usbpd,value,1 Built-in Rd(2),products:zh,1 built-in Rd(2),#,products:en+!products:zh(=1 built-in Rd(2))
register_fields,CH32L103,,,family=CH32L103 type=CAN register=CAN_BTIMR field=SJW,bits,25:24,rm(CH32L103RM.PDF),27:24,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=27:24)
register_fields,CH32L103,,,family=CH32L103 type=CAN register=CAN_BTIMR field=TS2,bits,22:20,rm(CH32L103RM.PDF),23:20,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=23:20)
register_fields,CH32L103,,,family=CH32L103 type=FLASH register=FLASH_OBR field=DATA0,bits,17:10,rm(CH32L103RM.PDF),19:12,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=19:12)
register_fields,CH32L103,,,family=CH32L103 type=FLASH register=FLASH_OBR field=DATA1,bits,25:18,rm(CH32L103RM.PDF),27:20,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=27:20)
register_fields,CH32L103,,,family=CH32L103 type=FLASH register=FLASH_OBR field=USER,bits,7:2,rm(CH32L103RM.PDF),7:7,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=7:7)
register_fields,CH32L103,,,family=CH32L103 type=OPA register=OPA_CTLR1 field=ITRIMN,bits,29:25,rm(CH32L103RM.PDF),29:24,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=29:24)
register_fields,CH32L103,,,family=CH32L103 type=OPA register=OPA_CTLR1 field=ITRIMP,bits,21:17,rm(CH32L103RM.PDF),21:16,#,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=21:16)
register_fields,CH32M030,,,family=CH32M030 type=ADC register=ADC_STATR field=MULT_CMP1,bits,9,rm(CH32M030RM.PDF),7:7,#,evt(ch32m030.h)+!rm(CH32M030RM.PDF)(=7:7)
register_fields,CH32M030,,,family=CH32M030 type=ADC register=ADC_STATR field=MULT_CMP3,bits,7,rm(CH32M030RM.PDF),9:9,#,evt(ch32m030.h)+!rm(CH32M030RM.PDF)(=9:9)
register_fields,CH32M030,,,family=CH32M030 type=FLASH register=FLASH_OBR field=USER,bits,9:2,rm(CH32M030RM.PDF),9:9,#,evt(ch32m030.h)+!rm(CH32M030RM.PDF)(=9:9)
register_fields,CH32M030,,,family=CH32M030 type=FLASH register=FLASH_WPR field=WRP,bits,31:0,rm(CH32M030RM.PDF),15:0,#,evt(ch32m030.h)+!rm(CH32M030RM.PDF)(=15:0)
register_fields,CH32V003,,,family=CH32V003 type=ADC register=ADC_RDATAR field=DATA,bits,31:0,rm(CH32V003RM.PDF),15:0,#,evt(ch32v00x.h)+!rm(CH32V003RM.PDF)(=15:0)
register_fields,CH32V003,,,family=CH32V003 type=FLASH register=FLASH_OBR field=USER,bits,9:2,rm(CH32V003RM.PDF),7:7,#,evt(ch32v00x.h)+!rm(CH32V003RM.PDF)(=7:7)
register_fields,CH32V003,,,family=CH32V003 type=GPIO register=GPIO_LCKR field=LCKK,bits,8,rm(CH32V003RM.PDF),16:16,#,evt(ch32v00x.h)+!rm(CH32V003RM.PDF)(=16:16)
register_fields,CH32V006,,,family=CH32V006 type=GPIO register=GPIO_LCKR field=LCKK,bits,8,rm(CH32V00XRM.PDF),16:16,#,evt(ch32v00X.h)+!rm(CH32V00XRM.PDF)(=16:16)
register_fields,CH32V103,,,family=CH32V103 type=ADC register=ADC_CTLR1 field=DUALMOD,bits,19:16,rm(CH32xRM.PDF),21:16,#,evt(ch32v10x.h)+!rm(CH32xRM.PDF)(=21:16)
register_fields,CH32V103,,,family=CH32V103 type=FLASH register=FLASH_ACTLR field=LATENCY,bits,1:0,rm(CH32xRM.PDF),2:0,#,evt(ch32v10x.h)+!rm(CH32xRM.PDF)(=2:0)
register_fields,CH32V103,,,family=CH32V103 type=FLASH register=FLASH_OBR field=USER,bits,9:2,rm(CH32xRM.PDF),9:9,#,evt(ch32v10x.h)+!rm(CH32xRM.PDF)(=9:9)
register_fields,CH32V205,,,family=CH32V205 type=FLASH register=FLASH_OBR field=DATA0,bits,17:10,rm(CH32V205RM.PDF),19:12,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=19:12)
register_fields,CH32V205,,,family=CH32V205 type=FLASH register=FLASH_OBR field=DATA1,bits,25:18,rm(CH32V205RM.PDF),27:20,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=27:20)
register_fields,CH32V205,,,family=CH32V205 type=FLASH register=FLASH_OBR field=USER,bits,7:2,rm(CH32V205RM.PDF),7:7,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=7:7)
register_fields,CH32V205,,,family=CH32V205 type=FSMC register=FSMC_PCR2 field=TAR,bits,16:12,rm(CH32V205RM.PDF),16:13,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=16:13)
register_fields,CH32V205,,,family=CH32V205 type=FSMC register=FSMC_PCR2 field=TCLR,bits,12:8,rm(CH32V205RM.PDF),12:9,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=12:9)
register_fields,CH32V205,,,family=CH32V205 type=OPA register=CMP_CTLR field=HYS1_H,bits,29,rm(CH32V205RM.PDF),19:19,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=19:19)
register_fields,CH32V205,,,family=CH32V205 type=OPA register=CMP_CTLR field=HYS2_H,bits,30,rm(CH32V205RM.PDF),29:29,#,evt(ch32v205.h)+!rm(CH32V205RM.PDF)(=29:29)
register_fields,CH32V20x,,,family=CH32V20x type=FLASH register=FLASH_OBR field=USER,bits,9:2,rm(CH32FV2x_V3xRM.PDF),9:7,#,evt(ch32v20x.h)+!rm(CH32FV2x_V3xRM.PDF)(=9:7)
register_fields,CH32V20x,,,family=CH32V20x type=RCC register=RCC_CFGR0 field=MCO,bits,26:24,rm(CH32FV2x_V3xRM.PDF),27:24,#,evt(ch32v20x.h)+!rm(CH32FV2x_V3xRM.PDF)(=27:24)
register_fields,CH32V20x,,,family=CH32V20x type=RCC register=RCC_CFGR0 field=USBPRE,bits,22,rm(CH32FV2x_V3xRM.PDF),23:22,#,evt(ch32v20x.h)+!rm(CH32FV2x_V3xRM.PDF)(=23:22)
register_fields,CH32V307,,,family=CH32V307 type=FLASH register=FLASH_OBR field=USER,bits,9:2,rm(CH32FV2x_V3xRM.PDF),9:7,#,evt(ch32v30x.h)+!rm(CH32FV2x_V3xRM.PDF)(=9:7)
register_fields,CH32V307,,,family=CH32V307 type=RCC register=RCC_CFGR0 field=USBPRE,bits,22,rm(CH32FV2x_V3xRM.PDF),23:22,#,evt(ch32v30x.h)+!rm(CH32FV2x_V3xRM.PDF)(=23:22)
register_fields,CH32V407,,,family=CH32V407 type=RCC register=RCC_CFGR0 field=ADCDUTY_SEL,bits,30,rm(CH32V407RM.PDF),30:29,#,evt(ch32v4x7.h)+!rm(CH32V407RM.PDF)(=30:29)
register_fields,CH32V407,,,family=CH32V407 type=RCC register=RCC_CFGR2 field=UTMI1ON,bits,31,rm(CH32V407RM.PDF),30:30,#,evt(ch32v4x7.h)+!rm(CH32V407RM.PDF)(=30:30)
register_fields,CH32V407,,,family=CH32V407 type=RCC register=RCC_CFGR2 field=UTMI2ON,bits,30,rm(CH32V407RM.PDF),31:31,#,evt(ch32v4x7.h)+!rm(CH32V407RM.PDF)(=31:31)
register_fields,CH32X035,,,family=CH32X035 type=ADC register=ADC_CTLR3 field=CLK_DIV,bits,3:0,rm(CH32X035RM.PDF),8:0,#,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=8:0)
register_fields,CH32X035,,,family=CH32X035 type=FLASH register=FLASH_OBR field=USER,bits,6:2,rm(CH32X035RM.PDF),7:7,#,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=7:7)
register_fields,CH32X035,,,family=CH32X035 type=OPA register=OPA_CTLR2 field=CMP_LOCK,bits,13,rm(CH32X035RM.PDF),31:31,#,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=31:31)
register_fields,CH32X035,,,family=CH32X035 type=TIM register=TIM_CH3CVR field=CCR3,bits,15:0,rm(CH32X035RM.PDF),31:0,#,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=31:0)
register_fields,CH32X035,,,family=CH32X035 type=TIM register=TIM_CH4CVR field=CCR4,bits,15:0,rm(CH32X035RM.PDF),31:0,#,evt(ch32x035.h)+!rm(CH32X035RM.PDF)(=31:0)
registers,CH32H417,,,family=CH32H417 type=CAN register=FAFIFOR,,,rm-address(CH32H417RM.PDF),0x40006618,#,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)+!rm-address(CH32H417RM.PDF)(=0x40006618)
registers,CH32H417,,,family=CH32H417 type=CAN register=FMCFGR,,,rm-address(CH32H417RM.PDF),0x40006608,#,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)+!rm-address(CH32H417RM.PDF)(=0x40006608)
registers,CH32H417,,,family=CH32H417 type=CAN register=FSCFGR,,,rm-address(CH32H417RM.PDF),0x40006610,#,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)+!rm-address(CH32H417RM.PDF)(=0x40006610)
registers,CH32H417,,,family=CH32H417 type=CAN register=FWR,,,rm-address(CH32H417RM.PDF),0x40006620,#,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)+!rm-address(CH32H417RM.PDF)(=0x40006620)
timers,CH32V307,,,family=CH32V307 timer=TIM5,,,,,#,rm(CH32FV2x_V3xRM.PDF:p242)
